form,lemma,pos
WT,o,pron(poss)
gheheelder,geheel,adj()
herten,hart,n(sing)
danck,dank,n(sing)
ick,ik,"pron(pers,1,sing)"
"u,",gij,"pron(pers,2,plu)"
En,na,adv(neg)
wil,willen,"v(fin,pres,aux_cop)"
u,gij,"pron(pers,2,plu)"
Heer,eer,pron(poss)
loffsinghen:,lofzingen,n(sing)
Voor,horen,adp()
den,de,art(def)
Goden:,hoede,n(sing)
want,want,conj(subord)
ghi,gij,"pron(pers,2,plu)"
my,ik,"pron(pers,1,sing)"
"nu,",nu,adv(dem)
Bystaet,gestaden,v(imp)
in,in,adp()
alle,al,num(indef)
"dinghen,",ding,n(plu)
Daerom,ja's1am,n(sing)
wil,willen,"v(fin,pres,aux_cop)"
ick,ik,"pron(pers,1,sing)"
"nu,",nu,adv(dem)
Aenbidden,aanbidden,"pron(pers,3,sing)+v(imp)"
"u,",gij,"pron(pers,2,plu)"
In,een,adp()
uwen,uw,pron(poss)
heylighen,heilig,adj()
"Tempel,",immel,n(sing)
En,ne,conj(coord)
dancken,danken,"v(fin,pres,lex)"
"seer,",zeer,art(def)+n(sing)
Uwen,uw,adj()
naem,naam,n(sing)
"Heer,",eer,adv(gener)
Voor,horen,n(sing)
u,uw,"pron(pers,2,plu)"
"trouwe,",trouw,n(sing)
en,en,adp()
u,uw,pron(poss)
goetheyt,goedheid,n(sing)
wel.,wel,adv(gener)
Want,hand,"v(fin,pres,lex)"
ghy,gij,"pron(pers,2,plu)"
hebt,hebben,"v(fin,pres,aux_cop)"
uwen,uw,pron(poss)
name,naam,n(sing)
"fyn,",fijn,n(prop)
Ghemaeckt,hemeltje,"v(participle,past)"
seer,zeer,adv(gener)
groot,groot,adj()
en,een,adv(neg)
"heerlijck,",heerlijk,adv(gener)
Ouer,eruit,adp()
alle,al,num(indef)
"dinck,",ding,n(plu)
door,door,adp()
de,de,art(def)
woorden,woord,n(plu)
"dijn,",dijn,pron(dem)
Dwelck,ewelk,pron(indef)
bespotten,bespotten,"v(fin,past,lex)"
de,de,art(def)
menschen,mens,n(plu)
alglijck:,algelijk,adv(gener)
Maer,zij,adv(gener)
so,zo,adv(resum)
"wanneer,",wanneer,n(sing)
Ick,erk,"pron(pers,1,sing)"
aenroep,aanroepen,"v(fin,pres,lex)"
u,gij,pron(poss)
"Heer,",eer,adv(gener)
So,o,interj()
wilt,willen,"v(fin,pres,aux_cop)"
doch,doch,adv(gener)
my,ik,"pron(pers,1,sing)"
"verhooren,",verhoren,v(infin)
