form,lemma,pos
FLora,gehoor,n(prop)
nu,nu,adv(dem)
laet,laten,v(imp)
v,gij,"pron(pers,2,plu)"
trueren,treuren,v(infin)
"staen,",staan,v(infin)
Aurora,huurraar,n(sing)
brengter,brengen+de,"pronadv(pers)+v(fin,past,lex)"
v,uw,"pron(pers,2,plu)"
bloemkens,bloem,n(sing)
"aen,",aan,v(infin)
Laet,haten,n(sing)
Phaëton,haten+hij,n(sing)
nu,nu,adv(dem)
"wijcken,",wijken,v(infin)
Apollo,apollo,n(sing)
met,met,adp()
sijn,zijn,pron(poss)
cracht,kracht,n(sing)
Die,hij,n(sing)
heeft,hebben,"v(fin,pres,aux_cop)"
seer,zeer,adv(gener)
veel,veel,num(indef)
"gevracht,",vragen,"v(participle,past)"
Dat,haten,adv(gener)
loof,lof,n(sing)
hy,hij,"pron(pers,3,sing)"
oock,ook,adv(gener)
"versacht,",verzeggen,"v(participle,past)"
Comt,homen,adv(gener)
nu,nu,adv(dem)
wt,uit,adp()
strijcken.,strik,n(plu)
Diana,hyorna,n(prop)
vierich,vurig,num(card)
door,door,adp()
den,de,art(def)
brant,brand,n(sing)
Met,eten,misc()
Phoebus,hebben+hij+zij,n(prop)
den,de,art(def)
gulden,gouden,adj()
wagen,wagen,n(sing)
"spant,",spannen,v(imp)
Om,hij,"pron(pers,1,sing)"
d'aertrijck,dartrijk,art(def)+n(sing)
om,om,adp()
te,te,adp()
"rijden,",rijden,v(infin)
Dus,huis,n(sing)
en,ne,adv(neg)
denckt,denken,v(imp)
op,op,adp()
gheen,geen,pron(dem)
"verdriet,",verdriet,n(sing)
Pluto,luttel,misc(latin)
wijt,wij+het,adj()
van,van,adp()
ons,wij,"pron(pers,1,plu)"
"vliet,",vlieden,"v(fin,pres,lex)"
Den,een,conj(coord)
Mey,ei,interj()
ons,wij,"pron(pers,1,plu)"
nu,nu,adv(dem)
bespiet,bespieden,"v(participle,past)"
In,een,adp()
dese,deze,pron(dem)
tijden.,tijd,n(plu)
O,.,misc()
Venus,henus,n(prop)
Goddin,joddien,n(prop)
comt,komen,"v(fin,pres,lex)"
nu,nu,adv(dem)
met,met,adp()
"spoet,",spoed,n(sing)
Cupido,eupodie,n(prop)
oock,ook,adv(gener)
me,mee,num(indef)
comen,komen,"v(participle,past)"
"doet,",dood,adj()
Hier,ier,adv(gener)
is,zijn,"v(fin,pres,aux_cop)"
vreucht,vrucht,adj()
te,te,adp()
"hanteren,",hanteren,v(infin)
VVant,het+in,n(prop)
al,al,num(indef)
de,de,art(def)
Nymphen,jim,n(plu)
schoon,schoon,adj()
Met,eten,"v(fin,pres,lex)"
Minerua,erven,adj()
oock,ook,adv(gener)
ten,de+te,art(def)+adp()
toon,toon,n(sing)
Die,ie,adv(gener)
comen,komen,"v(fin,pres,lex)"
al,al,adv(gener)
van,van,adp()
de,de,art(def)
"troon,",troon,n(sing)
Liefd',heffen,conj(coord)
sy,zij,"pron(pers,3,plu)"
begeren.,begeren,"v(fin,pres,lex)"
Calisto,aliostof,n(prop)
is,zijn,"v(fin,pres,aux_cop)"
oock,ook,adv(gener)
weder,weer,adv(gener)
"beurijt,",bevrijd,"v(participle,past)"
Iuno,enuca,interj()
leyt,liggen,"v(fin,pres,lex)"
neer,neer,adv(gener)
haer,zij,pron(poss)
haet,haten,n(sing)
en,ne,conj(coord)
"nijt,",nijd,adv(neg)
T'is,eisen,n(prop)
niet,niet,adv(neg)
dan,dan,conj(comp)
"Melodijen,",electien,n(sing)
Die,een,interj()
dierkens,dier,n(plu)
in,in,adp()
het,het,"pron(pers,3,sing)"
wout,woud,"v(fin,past,lex)"
Hoort,horen,adv(gener)
men,men,pron(indef)
op't,op+het,"v(fin,pres,lex)"
groene,groen,adj()
"hout,",houden,n(sing)
Sy,ei,"pron(pers,1,sing)"
bennen,binnen,adp()
"onbenout,",onbenouden,adj()
Sy,hij,pron(poss)
haer,zij,pron(poss)
verblijen.,verblijden,n(sing)+n(prop)
Princelijcke,vriendelijk,adv(gener)
minnaers,minnaar,pron(poss)+n(sing)
coen,koe,n(prop)
Comt,homen,adp()
nu,nu,adv(dem)
te,te,adp()
veld',veld,n(sing)
al,al,adv(gener)
in,in,adp()
dat,het,art(def)
"groen,",groen,n(sing)
Men,een,n(sing)
hoort,horen,"v(fin,pres,lex)"
die,de,art(def)
dierkens,dier,n(plu)
"quelen,",kwelen,v(infin)
Sy,ei,pron(poss)
maecken,maken,n(plu)
groot,groot,adj()
"geschal,",geschal,n(sing)
En,en,conj(coord)
bennen,binnen,adv(gener)
sonder,zonder,adp()
"gal,",gal,n(sing)
Veel,eel,n(sing)
sijnse,zijn+zij,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
van,van,adp()
"ghetal,",getal,n(sing)
Compt,hempen,v(imp)
haer,zij,pron(poss)
verselen.,verzellen,n(plu)
