form,lemma,pos
De,een,art(indef)
blijdscap,blijdschap,n(sing)
komt,komen,"v(fin,pres,lex)"
van,van,adp()
mijn:,mijn,pron(poss)
Een,een,conj(coord)
yeder,ieder,adj()
juyghd,jeugd,n(sing)
van,van,adp()
"vreughd,",vreugde,n(sing)
Een,een,conj(coord)
woningh,woning,n(sing)
vande,de+van,conj(coord)
pijn,pijn,n(sing)
"Is,",zijn,"v(fin,pres,aux_cop)"
laes!,laten,n(sing)
mijn,mijn,pron(poss)
jonghe,jong,adj()
jeughd.,jeugd,n(sing)
Ay!,gij,misc()
hoe,hoe,adv(inter)
bochten,bochten,"v(fin,pres,lex)"
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wild,willen,"v(fin,pres,aux_cop)"
Om,hij,"pron(pers,1,sing)"
d'ontrouw,daartoe+drouw,art(def)+n(sing)
die,die,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",doen,"v(fin,pres,lex)"
Ay,een,"pron(pers,2,plu)"
Hemel!,iemal,adv(gener)
al,al,num(indef)
mijn,mijn,pron(poss)
klachten,klacht,v(infin)
//,.,punc(quest)
"stild,",stil,v(imp)
't,et,conj(coord)
En,en,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,v(prtcl)
"Speelt,",paled,n(sing)
"springht,",springen,n(sing)
en,en,art(indef)
"quinckeleert,",kwinkelaar,n(sing)
"Vervrolijckt,",erfrook,"v(participle,past)"
u,gij,"pron(pers,2,sing)"
verblyd:,verblijden,"v(participle,past)"
Myn,in,adp()
droevigh,droevig,n(sing)
hart,hard,adj()
begeert,begeren,"v(participle,past)"
Wat,hebben,conj(coord)
"vryheyd,",vrijheid,n(sing)
en,en,conj(coord)
wat,wat,pron(inter)
tijd.,tijd,n(sing)
Ay!,gij,misc()
hoe,hoe,adv(inter)
bochten,bochten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wilt,willen,"v(fin,pres,aux_cop)"
Om,hij,"pron(pers,1,sing)"
d'ontrouw,daartoe+drouw,art(def)+n(sing)
die,die,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",doen,"v(fin,pres,lex)"
Ay,hij,interj()
Hemel!,aemilius,adv(gener)
al,al,adv(gener)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,punc(quest)
"stild,",stil,"v(fin,pres,lex)"
't,et,conj(coord)
En,ne,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
Besadight,zesdigen,n(sing)
"u,",gij,adp()
mijn,mijn,pron(poss)
"hart,",hard,n(sing)
Hoe,hoe,interj()
holdy,houden+gij,"pron(pers,2,plu)+v(fin,pres,lex)"
dus,dus,adv(dem)
ontoomt?,ontmoeten,"v(fin,pres,lex)"
Helaes!,elai,n(sing)
van,van,adp()
enckel,enkel,n(prop)
smart,smart,n(sing)
't,at,art(def)
Gesicht,eisen,n(sing)
van,van,adp()
tranen,traan,n(plu)
stroomt.,stroom,"v(fin,pres,lex)"
Ay!,i,art(indef)
hoe,hoe,adv(inter)
bochten,buiten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wild,willen,"v(fin,pres,aux_cop)"
Om,ik,"pron(pers,1,sing)"
d'ontrouw,daartoe+drouw,art(def)+n(sing)
die,de,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",doen,"v(fin,pres,lex)"
Ay,een,punc(quest)
Hemel!,aemilius,adv(gener)
al,al,adv(gener)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,punc(quest)
"stild,",stil,"v(fin,pres,lex)"
't,eten,conj(coord)
En,ne,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
De,een,pron(poss)
leckernye,lekkerij,n(sing)
"soet,",zoet,n(sing)
"Die,",lieden,pron(poss)
"proevende,",proevend,n(sing)
"vermaeckt,",vermaken,"v(participle,past)"
In,en,adp()
mynen,mijn,pron(poss)
mond,mond,n(sing)
als,als,conj(subord)
"roet,",rood,n(sing)
Of,of,conj(coord)
bitt're,bitter,adp()+adv(gener)
galle,gal,n(sing)
"smaackt,",smaken,adj()
Ay!,een,misc()
hoe,hoe,adv(inter)
bochten,bochten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wild?,willen,n(sing)
Om,ik,"pron(pers,1,sing)"
d'ontrouw,daartoe+drunk,art(def)+n(sing)
die,de,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",toen,"v(fin,pres,lex)"
Ay,een,interj()
Hemel!,aemilius,adv(gener)
al,al,adv(gener)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,punc(quest)
stilt,stillen,"pron(pers,3,sing)+v(fin,pres,lex)"
Ten,een,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
De,eer,art(def)
blije,blij,adj()
sang,zang,n(sing)
en,een,adv(neg)
"spel,",spel,"v(fin,past,lex)"
Luyd-klagend',uitgenomend,n(sing)
in,in,adp()
mijn,mijn,pron(poss)
"oor,",oor,n(sing)
My,gij,pron(poss)
dunckt,dunken,"v(fin,pres,lex)"
dat,dat,conj(subord)
ick,ik,"pron(pers,1,sing)"
seer,zeer,adv(gener)
hel,hel,adv(gener)
Mijn,en,adp()
Lief,hebben,conj(coord)
daer,daar,pronadv(rel)
suchten,zuchten,v(infin)
hoor.,horen,n(sing)
Ay!,gij,misc()
hoe,hoe,adv(inter)
bochten,bochten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wilt!,willen,n(sing)
Om,hij,n(sing)
d',de,pron(dem)
ontrouw,ontrouw,n(sing)
die,die,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",doen,"v(fin,pres,lex)"
Ay,een,interj()
Hemel!,aemilius,adv(gener)
al,al,num(indef)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,conj(coord)
stilt,stil,"v(fin,pres,lex)"
Ten,een,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
De,eer,art(indef)
lieffelijcke,lieflijk,adj()
"Lucht,",geugt,n(sing)
Dat,haten,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
dan,dan,adv(gener)
"stanck,",stank,v(imp)
De,eer,conj(coord)
Reuck,euk,n(sing)
die,de,art(def)
and'ren,ander,adj()
"helpt,",helpen,"v(fin,pres,lex)"
Die,hij,adv(gener)
maackt,maken,n(sing)
my,ik,"pron(pers,1,sing)"
flauw,flauw,n(sing)
en,en,adv(neg)
"kranck,",krank,n(sing)
Ay!,gij,misc()
hoe,hoe,adv(inter)
bochten,bochten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,art(indef)
wilt!,willen+het,n(sing)
Om,hij,n(sing)
d',du,art(def)
ontrouw,ontrouw,"v(fin,past,lex)"
die,die,pron(rel)
ick,ik,"pron(pers,1,sing)"
"doe,",doen,"v(fin,pres,lex)"
Ay,gij,interj()
Hemel!,aemilius,adv(gener)
al,al,adv(gener)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,punc(quest)
stilt,stillen,"pron(pers,3,sing)+v(fin,pres,lex)"
Ten,een,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
Ick,erk,n(sing)
doe,doen,adv(dem)
niet,niet,adv(neg)
dan,dan,conj(comp)
ick,ik,"pron(pers,1,sing)"
"suf,",zuif,"v(fin,pres,lex)"
"Afwysich,",efwisig,adj()
"schuw,",schuwen,n(sing)
en,een,conj(coord)
"koel,",koel,n(sing)
'k,ik,"pron(pers,2,plu)"
Heb,hebben,adv(gener)
in,in,adp()
mijn,mijn,pron(poss)
Man,ja,n(sing)
geen,geen,pron(indef)
"puf,",puur,n(sing)
Noch,ook,interj()
lieffelijck,lieflijk,adj()
gevoel.,gevoel,n(sing)
Hoe,hoe,conj(coord)
bochten,bochten,v(infin)
mijn,mijn,pron(poss)
gedachten,gedachte,n(plu)
//,.,punc(quest)
wilt?,willen,n(sing)
Om,hij,n(sing)
d',de,pron(dem)
ontrouw,ontrouw,n(sing)
die,die,pron(rel)
ick,ik,"pron(pers,1,sing)"
doe.,doen,"v(fin,pres,lex)"
Ach,gij,"pron(pers,1,sing)"
Hemel!,aemilius,adv(gener)
al,al,adv(gener)
mijn,mijn,pron(poss)
klachten,klacht,n(plu)
//,.,punc(quest)
"stilt,",stillen,"v(fin,pres,lex)"
Ten,een,adv(neg)
quam,komen,"v(fin,past,lex)"
by,bij,adp()
my,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
toe.,toe,adp()
