form,lemma,pos
Zullen,hul,v(infin)
dan,dan,conj(comp)
myn,mijn,pron(poss)
"levensdagen,",levensdag,n(plu)
Aan,hangen,adp()
het,het,"pron(pers,3,sing)"
noodlot,nooddruft,n(sing)
verbonden,verbinden,"v(participle,past)"
zyn?,zijn,"v(fin,pres,aux_cop)"
Zal,al,adv(gener)
ik,ik,"pron(pers,1,sing)"
zugten,zuchten,"v(fin,pres,lex)"
en,een,adv(neg)
het,het,"pron(pers,3,sing)"
"klagen,",klagen,"v(fin,pres,lex)"
Wesen,esen,interj()
steeds,stad,"v(fin,past,lex)"
het,het,"pron(pers,3,sing)"
lot,lot,n(sing)
van,van,adp()
"myn,",mijn,pron(indef)
En,in,conj(coord)
myn,mijn,pron(poss)
overal,overal,num(indef)
"versellen,",verzellen,"v(fin,pres,lex)"
En,ne,conj(coord)
vervolgen,vervolgen,"v(fin,pres,lex)"
tot,tot,conj(coord)
myn,mijn,pron(poss)
"asch,",as,n(sing)
Om,ik,"pron(pers,1,sing)"
myn,mijn,pron(poss)
helaes,helaas,n(sing)
te,te,adp()
"vertellen,",vertellen,v(infin)
Hoe,hoe,interj()
ongelukkig,ongelukkig,adj()
dat,dat,pron(rel)
ik,ik,"pron(pers,1,sing)"
was.,zijn,"v(fin,past,aux_cop)"
Nagt,hacht,n(prop)
of,of,conj(coord)
dag,dag,n(sing)
kan,kunnen,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
niet,niet,adv(neg)
"duren,",duren,v(infin)
Als,als,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
de,de,art(def)
wereld,wereld,n(sing)
"overdenk,",overdenken,n(sing)
Ik,koken,n(sing)
moet,moeten,"v(fin,pres,aux_cop)"
de,de,art(def)
levensloop,levensloop,n(prop)
"betreuren,",betreuren,v(infin)
Dat,haten,conj(subord)
het,het,"pron(pers,3,sing)"
in,in,adp()
myn,mijn,pron(poss)
hersens,hersenen,n(sing)
"krenk,",krenk,n(sing)
Men,een,conj(coord)
ziet,zien,"v(fin,pres,lex)"
het,het,"pron(pers,3,sing)"
dog,doch,adv(gener)
hier,hier,adv(dem)
dat,dat,conj(subord)
de,de,art(def)
"bosen,",boos,n(plu)
Alles,al,adv(gener)
na,na,adp()
haer,haar,"pron(pers,3,sing)"
lusten,lusten,n(sing)
"doen,",toen,adv(dem)
Het,eten,"v(fin,pres,aux_cop)"
spreekwoort,spreken+woort,n(prop)
zegt,zeggen,v(imp)
de,de,art(def)
"Godlosen,",ootlossen,n(plu)
Groeijen,rooien,n(plu)
de,de,art(def)
rosen,roos,n(plu)
op,op,adp()
haer,haar,pron(poss)
schoen.,schoon,n(sing)
Wat,hebben,adv(gener)
mag,mogen,"v(fin,pres,aux_cop)"
dog,doch,adv(gener)
de,de,art(def)
oorsaek,oorzaak,n(sing)
"wesen,",wezen,v(infin)
Dat,hebben,conj(subord)
myn,mijn,adv(gener)
alles,al,num(indef)
tegen,tegen,adj()
"gaet,",gaan,"v(fin,pres,lex)"
Nooit,gooien,adv(gener)
geen,geen,pron(indef)
blydschap,blijdschap,n(sing)
zonder,zonder,adp()
"vreesen,",vrezen,n(sing)
Geniet,en+niet,adv(neg)
ik,ik,"pron(pers,1,sing)"
in,in,adp()
myn,mijn,pron(poss)
"levensdraet,",levendstraat,n(sing)
Daer,haar,adp()
een,een,art(indef)
ander,ander,adj()
kan,kunnen,adj()
rosen,roos,n(sing)
