form,lemma,pos
SInt,eind,n(sing)
Catharina,atharia,n(prop)
Patronersch,atrondrist,n(prop)
Der,haar,pron(poss)
"Maeghden,",haagde,adj()
"Vrouws,",reuwen,n(prop)
en,en,conj(coord)
"Mans,",johannes,adj()
Ghy,hij,"pron(pers,1,sing)"
zijt,zijn,"pron(pers,3,plu)+pron(pers,3,sing)"
verçiert,verijzeren,"v(participle,past)"
als,als,conj(comp)
Martelersch,hartelster,adj()
Met,eten,"v(fin,pres,lex)"
eene,een,art(indef)
roode,rood,adj()
"krans,",krans,n(prop)
Ghy,hij,misc()
d',denarius,art(def)
witte,wit,adj()
kroon,kroon,n(prop)
//,.,misc()
tot,tot,adp()
een,een,art(indef)
loon,loon,n(sing)
Uwes,goed,pron(rel)
witte,wit,adj()
Maeghdoms,jagodom,n(sing)
hebt,hebben,"v(fin,pres,aux_cop)"
"ontfaen,",ontvangen,"v(participle,past)"
Jae,aan,pronadv(rel)
oock,ook,adv(gener)
de,de,art(def)
Purp're,hurper,n(plu)
krans,kraan,n(prop)
als,als,conj(comp)
"Doctorersche,",hoogtorren,adj()
wien,wie,pron(inter)
wy,wij,"pron(pers,1,plu)"
bidden,bidden,"v(fin,pres,lex)"
aen.,aan,"v(fin,pres,lex)"
Der,haar,pron(poss)
Maeghden,haag,n(sing)
Patronersch,atrenos,adj()
zijt,zijn,"v(fin,pres,aux_cop)"
"Ghy,",hij,"pron(pers,2,plu)"
Om,ik,n(sing)
dat,dat,conj(subord)
Ghy,hij,"pron(pers,2,plu)"
hebt,hebben,"v(fin,pres,aux_cop)"
bemint,beminnen,"v(participle,past)"
De,ee,art(indef)
"Maeghdom,",jagoddam,n(sing)
dien,die,pron(rel)
Ghy,hij,"pron(pers,2,plu)"
voorstondt,voorstaan,"v(participle,past)"
"bly,",blij,n(sing)
Tot,hoofd,conj(coord)
stervens,sterven,n(prop)
toe,toe,pronadv(prep)
gesint,zenden,"v(participle,past)"
In,lemma_unclear,adp()
overvloed,overvloed,"v(fin,pres,lex)"
//,.,misc()
all',al,n(prop)
u,uw,pron(poss)
bloed,bloed,n(sing)
Te,eer,conj(coord)
vergieten,vergieten,"v(fin,pres,lex)"
om,om,adp()
die,de,art(def)
reyne,rein,adj()
"deughd,",deugd,"v(fin,pres,lex)"
Die,ie,adv(gener)
God,hoofd,adv(gener)
almachtich,almachtig,adj()
heeft,hebben,"v(fin,pres,aux_cop)"
ten,te+de,art(def)+adp()
alderhooghsten,allerhoogst,adj()
't,et,n(sing)
allen,al,num(indef)
tijd,tijd,n(sing)
verheught.,verheugd,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,2,plu)"
dient,dienen,"pron(rel)+pron(pers,3,sing)"
van,van,adp()
't,et,art(def)
Vrouw,rouw,n(sing)
geslacht,slapen,"v(participle,past)"
ge-eert;,geëerd,"v(participle,past)"
Want,hand,adv(gener)
hebt,hebben,v(imp)
Ghy,hij,"pron(pers,2,plu)"
niet,niet,adv(neg)
de,de,art(def)
Vrouw,grouw,n(sing)
Des,zijn,pron(poss)
Keysers,eiser,n(prop)
Maximyns,akisjemen,n(prop)
"bekeert,",bekeren,"v(participle,past)"
En,en,conj(coord)
onderwesen,onderwezen,adj()
trouw?,trouw,n(sing)
Hebt,hebben,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,3,sing)"
haer,zij,"pron(pers,3,sing)"
niet,niet,adv(neg)
//,.,punc(quest)
uyt,uit,n(sing)
't,et,art(def)
verdriet,verdriet,n(sing)
't,et,adv(gener)
Welcken,elk,pron(indef)
eeuwigh,eeuwig,adj()
dueren,duren,v(infin)
"sal,",zullen,"v(fin,pres,aux_cop)"
bevrijdt?,bevrijden,"v(fin,pres,lex)"
Dies,ei,pron(poss)
Vrouwen!,rouw,v(infin)
Vrouwen!,rouw,v(infin)
eert,eer+het,"v(fin,pres,lex)"
de,de,art(def)
heyl'ge,heilig,adj()
Catharina,atharianus,n(prop)
't,eten,adp()
allen,al,pron(indef)
tijd.,tijd,n(sing)
Ghy,hij,"pron(pers,2,sing)"
Mannen,hanna,n(plu)
moet,moeten,"v(fin,pres,aux_cop)"
bewijsen,bewijzen,v(infin)
eer,eer,conj(subord)
Aen,een,adv(neg)
Sinte,inneten,n(sing)
Catharyn:,atharia,n(prop)
Want,hand,conj(coord)
heeftze,hebben+zij,"v(fin,pres,lex)+pron(pers,3,sing)"
niet,niet,adv(neg)
door,door,adp()
haere,zij,pron(poss)
Leer,eer,adv(gener)
Den,een,conj(coord)
Keyser,ei,n(sing)
"Maximyn,",hakijn,n(prop)
Gantsch,handsch,adj()
stom,stom,adj()
gemaeckt,maken,adj()
//,.,punc(quest)
en,en,adv(neg)
gestaeckt,steken,adj()
Sijne,mijn,pron(poss)
domme,dom,adj()
"waen,",waan,n(sing)
en,en,adv(neg)
mancke,manke,n(sing)
re'en?,rein,v(infin)
Heeft,hebben,"v(fin,pres,lex)"
Sy,hij,"pron(pers,2,plu)"
de,de,art(def)
Vijftigh,vijftig,num(card)
"Phylosophen,",helloos,n(prop)
's,zijn,pron(poss)
hemels,hemel,n(sing)
wegh,weg,n(sing)
niet,niet,adv(neg)
in,in,adp()
doen,doen,v(infin)
tre'en?,treen,v(infin)
Dies,ies,n(sing)
wilt,willen,"v(fin,pres,aux_cop)"
Haer,haar,adp()
eeren,eer,v(infin)
"allega'er,",algader,adv(gener)
Soo,hoop,conj(coord)
"Man,",ja,adp()
en,en,art(indef)
"Vrouw,",rouw,n(sing)
als,als,conj(comp)
Maeght:,hacht,n(sing)
Maeckt,haken,"v(fin,pres,lex)"
uyt,uit,v(prtcl)
te,te,adp()
samen,samen,v(infin)
eene,een,art(indef)
"Schaer,",echar,n(sing)
('k,eik,n(sing)
Weet,eed,n(sing)
dattet,dat+het,"conj(subord)+pron(pers,3,sing)"
Haer,zij,adv(gener)
behaeght.),behagen,adj()
Singht,engen,"v(fin,pres,aux_cop)"
lustigh,lustig,adj()
uyt,uit,v(prtcl)
//,.,art(indef)
"overluyt,",overluid,n(sing)
Sinte,innat,conj(coord)
"Catharyn,",gatharina,n(prop)
wy,wij,"pron(pers,1,plu)"
vallen,vallen,v(infin)
ne'er,neer,adv(gener)
Tot,hoofd,adv(gener)
op,op,adp()
der,de,art(def)
aerde,aarde,n(sing)
toe,te,adv(gener)
met,met,adp()
neergebogen,nergenboog,adj()
leden,lid,"v(participle,past)"
t',te,conj(subord)
uwer,uw,pron(poss)
eer.,eer,adv(gener)
Op,op,adv(gener)
dat,dat,conj(subord)
ick,ik,"pron(pers,1,sing)"
oock,ook,adv(gener)
mijn,mijn,pron(poss)
soete,zoet,adj()
lust,lust,"v(fin,pres,lex)"
Sou,af,conj(coord)
volgen,volgen,v(infin)
in,in,adp()
dit,dit,pron(dem)
"stuck,",stuk,n(sing)
Soo,o,interj()
wensch,wens,n(sing)
ick,ik,"pron(pers,1,sing)"
met,met,adp()
uw',uw,pron(poss)
eeuw'ge,eeuwig,n(sing)
Rust,zusten,adv(gener)
Cath'rina!,jachthein,n(prop)
U,o,pron(poss)
geluck.,geluk,n(sing)
Geluck,elk,n(sing)
zy,zijn,"v(fin,pres,lex)"
U,zij,punc(quest)
//,.,num(card)
"U,",",",num(card)
die,die,pron(rel)
nu,nu,adv(dem)
In,en,adp()
den,de,art(def)
Hemel,hemel,n(sing)
sit,zijn,"v(fin,pres,lex)"
in,in,adp()
Abrams,brabam,n(prop)
"schoot,",schoot,n(sing)
Nae,hee,conj(coord)
dat,dat,conj(subord)
Ghy,hij,"pron(pers,3,sing)"
uytgestaen,uitstaan,"v(participle,past)"
hebt,hebben,"v(fin,pres,aux_cop)"
veel,veel,num(indef)
"tormenten,",tormenten,n(plu)
en,ne,conj(coord)
de,de,art(def)
bitt're,bitter,n(sing)
dood.,dood,"v(fin,pres,lex)"
Sint,het+in,v(imp)
"Catharina,",atharina,n(prop)
bidt,bidden,v(imp)
voor,voor,adp()
ons,wij,"pron(pers,1,plu)"
Dat,haten,conj(coord)
wy,wij,"pron(pers,1,plu)"
op,op,adp()
stervens,sterven,n(sing)
uur,voor,n(sing)
Niet,iet,misc()
krijgen,krijgen,n(plu)
van,van,adp()
den,de,art(def)
Heer,eer,n(sing)
een,een,art(indef)
gons;,gene,n(sing)
Maer,haar,n(sing)
zijt,zijn,v(imp)
ons,wij,"pron(pers,1,plu)"
eene,een,art(indef)
muur.,muur,n(sing)
Ach!,c,n(sing)
Maghet,hagen,"v(participle,past)"
bidt,bidden,v(imp)
//,.,num(card)
dat,dat,conj(subord)
wy,wij,"pron(pers,1,plu)"
't,at,"v(fin,pres,lex)"
Wit,eten,conj(coord)
Mogen,oog,v(infin)
raken,raken,v(infin)
van,van,adp()
des,de,art(def)
hemels,hemels,n(sing)
hof;,hof,n(sing)
Maeckt,vaken,"v(fin,pres,lex)"
dat,dat,conj(subord)
wy,wij,"pron(pers,1,plu)"
eeuwigh,eeuwig,adj()
mogen,mogen,"v(fin,pres,aux_cop)"
singen,zingen,v(infin)
in,in,adp()
den,de,art(def)
"hemel,",hemel,n(sing)
Godes,hoofd,n(prop)
lof.,lof,n(sing)
