form,lemma,pos
AL,.,"pron(pers,2,plu)"
die,de,art(def)
beminnen,beminnen,"v(fin,pres,lex)"
d'Aerde-rycl,darderteel,art(def)+n(sing)
Zyn,een,conj(coord)
"Aerd',",aarde,"v(fin,pres,lex)"
en,en,adv(neg)
"Slyck,",gelijk,adj()
Maer,zij,adp()
die,die,pron(rel)
uyt,uit,n(sing)
all',al,num(indef)
hun,zij,"pron(pers,3,plu)"
sinnen,zin,n(plu)
Godt,hoofd,"v(fin,pres,lex)"
vierigh,vurig,adj()
minnen,minne,n(sing)
Die,ie,interj()
zyn,zijn,pron(poss)
"Goddelyck,",hoddelijk,n(sing)
De,eer,conj(coord)
Liefde,geven,n(sing)
weet,weten,"v(fin,pres,lex)"
den,de,art(def)
Minnaer,hennaar,n(sing)
soo,zo,adv(resum)
te,te,adp()
keeren,keren,v(infin)
Dat,hebben,conj(subord)
s'hem,semui,"pron(pers,3,sing)+pron(pers,3,sing)"
het,het,"pron(pers,3,sing)"
wesen,wezen,v(infin)
gheeft,geven,"v(fin,pres,lex)"
van,van,adp()
synen,zijn,pron(poss)
"Heere,",eer,adv(gener)
De,ee,pron(poss)
Berghen,ergens,n(plu)
van,van,adp()
Alvernen,elveren,n(plu)
hebben,hebben,"v(fin,pres,aux_cop)"
dit,dit,pron(dem)
"ghesien,",zien,"v(participle,past)"
Als,als,adv(gener)
daer,daar,pronadv(rel)
Franciscus,mannacus,n(prop)
van,van,adp()
den,de,art(def)
Seraphien,herafie,n(plu)
De,ee,conj(coord)
Wondekens,hond,n(sing)
van,van,adp()
Christus,heristus,n(prop)
heeft,hebben,"v(fin,pres,aux_cop)"
Ontfanghen,ontvangen,"v(participle,past)"
in,in,adp()
syn,zijn,pron(poss)
"Lichaem,",echaz,n(prop)
Soo,ooi,n(prop)
dat,dat,conj(subord)
de,de,art(def)
form,vorm,n(sing)
van,van,adp()
Christus,hertos,n(prop)
in,in,adp()
Franciscus,manneticus,n(prop)
"leeft,",leven,"v(fin,pres,lex)"
Francisce,prank,n(prop)
leght,liggen,"v(fin,pres,lex)"
af,af,v(prtcl)
uw,uw,pron(poss)
Habyt,habijt,n(sing)
Voor,haar,n(sing)
kleynen,klein,n(sing)
"tydt,",tijd,n(sing)
Komt,om,adv(gener)
sonder,zonder,adp()
Kap,haap,n(sing)
"verschynen,",verschijnen,v(infin)
Sy,gij,"pron(pers,1,sing)"
sullen,zullen,"v(fin,pres,aux_cop)"
meynen,menen,v(infin)
Dat,haten,conj(subord)
ghy,gij,"pron(pers,2,sing)"
Christus,christus,n(sing)
"zyt,",zijn,"v(fin,pres,aux_cop)"
O,o,conj(coord)
Christe!,hart,adj()
kleedt,kleden,"v(fin,pres,lex)"
u,gij,"pron(pers,2,plu)"
in,in,adp()
Franciscus,marnacus,n(sing)
"Kleeren,",leren,v(infin)
Soo,o,n(sing)
sullen,zullen,"v(fin,pres,aux_cop)"
sy,zij,"pron(pers,3,plu)"
u,gij,"pron(pers,2,plu)"
voor,voor,adp()
Franciscus,mannacus,n(sing)
"eeren,",eren,adv(gener)
De,eer,adp()
Son,hij,n(sing)
die,die,pron(rel)
siet,zien,"v(fin,pres,lex)"
haer-selven,zichzelf,"v(fin,pres,aux_cop)+pron(indef)"
in,in,adp()
een,een,art(indef)
klaer,klaar,n(sing)
"Fontyn,",onttiën,n(sing)
En,ne,conj(coord)
Christus,christus,n(prop)
siet,zien,"v(fin,pres,lex)"
nu,nu,adv(dem)
in,in,adp()
Franciscus,mannacus,n(prop)
syn,zijn,pron(poss)
"Aen-schyn,",enwegschijn,n(sing)
Die,ie,interj()
JESUS,echt,n(prop)
mindt,minnen,n(sing)
die,die,pron(dem)
wordt,woord,"v(fin,pres,aux_cop)"
ghelyck,gelijk,adv(gener)
Aen,een,art(indef)
"JESUS,",.,n(sing)
die,die,pron(rel)
hy,hij,"pron(pers,3,sing)"
lief,lief,adj()
"heeft,",hebben,"v(fin,pres,aux_cop)"
De,eer,art(indef)
Goddelycke,hodelijk,adv(gener)
Liefde,heffen,n(sing)
maeckt,maken,"v(participle,past)"
ons,wij,"pron(pers,1,plu)"
"Goddelyck,",hoddelijk,n(prop)
