form,lemma,pos
DAer,eer,n(sing)
God,hoofd,n(sing)
de,de,art(def)
Heere,eer,adj()
seer,zeer,n(sing)
soet,het+zij,"pron(pers,3,sing)+pron(pers,3,sing)"
Hulpe,hulp,"v(fin,pres,lex)"
"doet,",doen,adj()
Wie,je,adv(gener)
kan,kunnen,"v(fin,pres,aux_cop)"
dan,dan,conj(comp)
den,de,art(def)
mensche,mens,n(sing)
hind'ren?,hinderen,v(infin)
Niemandt,iemand,n(sing)
op,op,adp()
des,de,art(def)
werelts,wereld,n(sing)
"ront,",rond,n(sing)
Of,of,v(imp)
terstont,terstond,adv(gener)
Kan,ja,adp()
hem,hij,"pron(pers,3,sing)"
yewers,iewaar,pron(indef)
aen,aan,adp()
niet,niet,adv(neg)
mind'ren.,minder,v(infin)
Soeckt,mogen,"v(fin,pres,lex)"
den,de,art(def)
Heere,eer,n(sing)
Godt,hoeden,conj(coord)
altijdt,altijd,adv(gener)
Metter,etter,adp()+art(def)
"vlijt,",vlijt,"v(fin,pres,lex)"
Soo,ooi,interj()
en,ne,adv(neg)
kan,kunnen,"v(fin,pres,aux_cop)"
u,gij,"pron(pers,2,sing)"
niemandt,niemand,pron(indef)
"deeren,",deren,v(infin)
Gelijck,eelijk,n(sing)
de,de,art(def)
Propheet,roepheid,n(sing)
David,avod,n(sing)
"was,",zijn,"v(fin,past,aux_cop)"
'k,koken,"pron(pers,1,sing)"
Seght,echt,"v(fin,pres,lex)"
u,gij,pron(poss)
"ras,",ras,n(sing)
Ghy,hij,"pron(pers,2,plu)"
blijft,blijven,v(imp)
vry,vrij,adj()
uyt,uit,n(sing)
het,het,"pron(pers,3,sing)"
verseeren.,verzeren,v(infin)
Oock,ook,adv(gener)
"ghelijck,",gelijk,adv(gener)
d'Apostelen,dispolen,n(plu)+art(def)
"goet,",goed,adj()
Seere,eer,adv(gener)
"vroet,",vroed,n(sing)
De,eerietlang,conj(coord)
sond',zonde,n(sing)
mocht,mogen,"v(fin,past,aux_cop)"
hem,hij,"pron(refl,3,sing)"
selfs,zelf,"pron(refl,2,sing)"
niet,niet,adv(neg)
"raken,",raken,v(infin)
Die,ie,interj()
God,hood,conj(coord)
altijdt,altijd,adv(gener)
soo,zo,adv(indef)
"bewaert,",bewaren,"v(participle,past)"
"Onbeswaert,",onbezwaard,adv(gener)
d'Hel,deel,n(sing)+art(def)
mach,mogen,"v(fin,pres,aux_cop)"
teghen,tegen,adp()
hem,hij,"pron(pers,3,sing)"
niet,niet,adv(neg)
blaken.,blaken,v(infin)
Doodt,houden,adv(gener)
waer,waar,adv(inter)
's,zijn,"pron(pers,3,sing)"
uwen,uw,pron(poss)
prickel,prikkel,n(sing)
"seght,",zeggen,n(sing)
"Overleght,",verlechten,"v(fin,pres,lex)"
Hy,hij,interj()
met,met,adp()
eenen,een,art(indef)
blyen,blij,adj()
"moede,",moed,n(sing)
V,.,pron(poss)
overwinningh,overwinning,n(sing)
waer,waar,"v(fin,past,aux_cop)"
's,zijn,"pron(pers,3,sing)"
"die,",de,art(def)
Seght,echt,n(sing)
hy,hij,"pron(pers,3,sing)"
"blye,",blij,"v(fin,past,lex)"
Tegen,jegen,"v(fin,past,lex)"
de,de,art(def)
Hel,el,n(sing)
metter,de+met,art(def)+adp()
spoede.,spoed,n(sing)
Och,gij,"pron(pers,1,sing)"
aensiet,aanzien,"v(fin,pres,lex)"
doch,doch,adv(gener)
dit,dit,pron(dem)
gheluck,geluk,n(sing)
//,.,punc(quest)
Voor,hoor,n(sing)
den,de,art(def)
"druck,",druk,n(sing)
Want,hand,"v(fin,pres,lex)"
die,de,art(def)
God,hood,n(sing)
niet,niet,adv(neg)
gaet,gaan,"v(fin,pres,aux_cop)"
behoeden,behoeden,v(infin)
//,.,adv(neg)
Hy,hij,"pron(refl,2,sing)"
en,en,adv(neg)
kan,kunnen,"v(fin,pres,aux_cop)"
doch,doch,adv(gener)
niet,niet,adv(neg)
"bestaen,",bestaan,v(infin)
Moet,het+oofd,conj(coord)
"vergaen,",vergaan,v(infin)
Door,haar,adp()
Gods,hoofd,adj()
handt,hand,n(sing)
en,een,art(indef)
felle,fel,adj()
roeden.,roede,n(plu)
