form,lemma,pos
Deur,ever,adj()
liefden,liefde,n(sing)
moet,moeten,"v(fin,pres,aux_cop)"
ic,ik,"pron(pers,1,sing)"
"vermonde,",vermonden,"v(fin,pres,lex)"
Het,eten,adv(gener)
leit,liggen,"v(fin,pres,lex)"
dat,dat,conj(subord)
mi,ik,"pron(pers,1,sing)"
"geschiet,",geschieden,"v(fin,pres,lex)"
Venus,henos,n(prop)
staet,staan,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
bi,bij,adp()
tot,tot,adp()
allen,al,num(indef)
stonden,stond,n(plu)
Ofte,of,adv(gener)
ic,ik,"pron(pers,1,sing)"
moet,moeten,"v(fin,pres,aux_cop)"
blijuen,blijven,v(infin)
int,in+dat,adp()+art(def)
"verdriet,",verdriet,n(sing)
Ick,chuk,n(sing)
hadde,hebben,"v(fin,past,lex)"
een,een,art(indef)
wtuercooren,uitverkoren,adj()
//,.,num(card)
Maer,haar,adj()
lacen,laas,n(sing)
het,het,"pron(pers,3,sing)"
is,zijn,"v(fin,pres,aux_cop)"
heel,heel,adv(gener)
"verkeert,",verkeerd,"v(participle,past)"
Van,ja,adp()
my,ik,"pron(pers,1,sing)"
mach,mogen,"v(fin,pres,aux_cop)"
hy,hij,"pron(pers,3,sing)"
niet,niet,adv(neg)
"horen,",horen,v(infin)
Hy,hij,"pron(pers,2,plu)"
heeft,hebben,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
gheabbandoneert.,abbendoneger,"v(participle,past)"
O,.,misc()
Cupido,eupidoon,n(sing)
Godt,hoofd,conj(coord)
vander,van+de,art(def)+adp()
minnen,minne,n(sing)
//,.,conj(coord)
My,hij,interj()
v,uw,pron(poss)
Maechdeken,haakken,n(plu)
nu,nu,adv(dem)
"bystaet,",biestaan,v(imp)
Ofte,of,adv(gener)
deur,door,pron(dem)
liefden,liefde,n(sing)
moet,moeten,"v(fin,pres,aux_cop)"
ick,ik,"pron(pers,1,sing)"
ontsinnen,ontzinnen,v(infin)
//,.,conj(coord)
En,en,adv(neg)
vallen,vallen,"v(fin,pres,lex)"
gheheel,geheel,adv(gener)
in,in,adp()
"desperaet,",de+sparen,n(sing)
Als,als,adv(gener)
Dido,hiddo,n(prop)
aenhoort,aanhoren,"v(participle,past)"
mijn,mijn,pron(poss)
claghen,klagen,n(sing)
//,.,punc(quest)
Want,hand,n(sing)
van,van,adp()
herten,hart,n(sing)
ben,zijn,"v(fin,pres,aux_cop)"
ick,ik,"pron(pers,1,sing)"
bedroeft,bedroefd,"v(participle,past)"
Die,hij,"pron(refl,2,sing)"
om,om,adp()
"Aeneas,",aeneas,n(prop)
al,al,adv(gener)
sonder,zonder,adp()
versaghe,verzien,n(sing)
//,.,punc(quest)
Heeft,hebben,v(imp)
haer,zij,"pron(refl,3,sing)"
selfs,zelf,"pron(refl,2,sing)"
vant,vinden,art(def)+adp()
leuen,leven,n(sing)
berooft.,beroven,"v(participle,past)"
Eerst,eerst,adv(gener)
scheen,schijnen,"v(fin,past,aux_cop)"
hy,hij,"pron(pers,3,sing)"
my,ik,"pron(pers,1,sing)"
goet,goed,adj()
bouen,boven,adp()
"maten,",maat,v(infin)
Maer,zij,adv(gener)
int,in+dat,art(def)+adp()
laest,laatst,n(sing)
valt,vallen,"v(fin,pres,lex)"
hy,hij,"pron(pers,3,sing)"
my,ik,"pron(pers,1,sing)"
heel,heel,adv(gener)
verwoet,verwoed,adj()
Zijn,en,adj()
woorden,woord,n(plu)
soet,zoet,"pron(pers,3,sing)+v(fin,pres,aux_cop)"
als,als,conj(subord)
Ducaten,huikate,n(plu)
//,.,conj(coord)
Die,ei,"pron(pers,1,sing)"
zyn,zijn,"v(fin,pres,aux_cop)"
gheworden,worden,"v(participle,past)"
als,als,conj(comp)
bitter,bitter,adj()
"roet,",rood,n(sing)
Waer,haar,adp()
deur,door,"v(fin,pres,lex)"
ick,ik,"pron(pers,1,sing)"
nu,nu,adv(dem)
moet,moeten,"v(fin,pres,aux_cop)"
