form,lemma,pos
'k,kok,"pron(pers,2,plu)"
Ging,hangen,"v(fin,pres,lex)"
's,zijn,"v(fin,pres,aux_cop)"
avonds,avond,n(sing)
laat,lat,n(sing)
door,door,adp()
't,tot,art(def)
straatje,straat,n(sing)
"heen,",heen,v(infin)
De,een,pron(poss)
hemel,hemel,n(sing)
was,zijn,"v(fin,past,aux_cop)"
reeds,reed,n(prop)
donker;,donker,n(sing)
-,-,punc(hyphen)
Hoog,oog,adv(gener)
boven,boven,adp()
mij,ik,"pron(pers,1,sing)"
een,een,art(indef)
sterre,ster,n(sing)
"scheen,",schijnen,v(infin)
Met,eten,"pron(pers,3,sing)+v(fin,pres,aux_cop)"
vriendlijk,vriendelijk,adv(gener)
lichtgeflonker:,liggenvoger,adj()
De,ee,pron(poss)
sterre,ster,n(sing)
schoot,schoot,n(sing)
haar,haar,n(sing)
straaltjes,straatlijk,n(prop)
uit,uit,adp()
Door,hoor,n(sing)
't,et,art(def)
groene,groen,adj()
glas,glas,n(sing)
der,de,art(def)
vensterruit...,venstrentui,"v(participle,past)"
Zeg!,eg,"pron(pers,3,sing)+adv(neg)"
is,zijn,"v(fin,pres,aux_cop)"
het,het,"pron(pers,3,sing)"
niet,niet,adv(neg)
des,de,art(def)
lampjes,lamp,n(sing)
"licht,",licht,n(sing)
Dat,hebben,adv(gener)
schijnt,schijnen,"v(fin,pres,lex)"
op,op,adp()
Klaartjes,lamarit,n(sing)
lief,lief,n(sing)
gezigt?,gezicht,"v(fin,pres,lex)"
'k,kok,"pron(pers,1,sing)"
Ging,hangen,conj(coord)
's,zijn,pron(poss)
morgens,morgen,n(sing)
vroeg,vroeg,adv(gener)
door,door,adp()
't,het,misc()
straatje,straat,n(sing)
"heen,",heen,n(prop)
De,een,conj(coord)
hemel,hemel,n(sing)
was,zijn,"v(fin,past,aux_cop)"
nog,noch,conj(coord)
donker;,donker,n(sing)
-,-,punc(hyphen)
Hoog,oog,adv(gener)
boven,boven,adp()
mij,ik,"pron(pers,1,sing)"
een,een,art(indef)
sterre,ster,n(sing)
"scheen,",schijnen,v(infin)
Met,eten,v(imp)
vriendlijk,vriendelijk,adj()
lichtgeflonker;,lichtvinkerong,adj()
De,een,pron(poss)
sterre,ster,n(sing)
schoot,schoot,n(sing)
haar,haar,pron(poss)
straaltjes,straatlijk,n(prop)
uit,uit,adv(gener)
Door,horen,n(sing)
't,eten,art(def)
groene,groen,adj()
glas,glas,n(sing)
der,de,art(def)
vensterruit....,venstrente,n(sing)
Zeg!,eeg,pron(indef)
is,zijn,"v(fin,pres,aux_cop)"
het,het,"pron(pers,3,sing)"
niet,niet,adv(neg)
des,de,art(def)
lampjes,lamp,n(sing)
"licht,",licht,n(sing)
Dat,hebben,adv(gener)
schijnt,schijnen,"v(fin,pres,lex)"
op,op,adp()
Klaartjes,lamarit,n(sing)
lief,lief,adj()
gezigt?,gezicht,"v(participle,past)"
Mijne,en,pron(poss)
"avondster,",avondster,n(sing)
mijn,mijn,pron(poss)
morgenster!,morgersteen,n(plu)
Ook,ook,n(sing)
Mij,twee,"pron(pers,1,sing)"
spoort,spoort,"v(fin,pres,lex)"
gij,gij+het,"pron(pers,2,plu)"
tot,tot,adp()
werken;,werk,n(sing)
Al,al,adv(gener)
blinkt,blinken,"v(fin,pres,lex)"
gij,gij,"pron(pers,2,plu)"
nu,nu,adv(dem)
nog,noch,conj(coord)
hoog,hoog,adj()
en,ne,adv(neg)
"ver,",vrouw,n(sing)
Toch,ook,interj()
zal,zullen,"v(fin,pres,aux_cop)"
Uw,uw,adv(gener)
glans,geland,n(sing)
mij,ik,"pron(pers,1,sing)"
sterken.,sterken,v(infin)
Werp,erp,n(sing)
slechts,slechten,n(sing)
een',een,art(indef)
enklen,enkelne,n(sing)
blik,blijk,n(sing)
op,op,adp()
"mij,",ik,"pron(pers,1,sing)"
Als,als,misc()
'k,kok,"pron(pers,1,sing)"
vroeg,vroeg,n(sing)
en,en,adv(neg)
laat,laten,n(sing)
u,gij,"pron(pers,2,plu)"
ga,gaan,"v(fin,pres,lex)"
"voorbij,",voorbij,adj()
En,n,adv(neg)
zeg:,zeggen,n(sing)
-,-,punc(hyphen)
'k,ik,"pron(pers,2,plu)"
wil,willen,"v(fin,pres,aux_cop)"
stralen,straal,v(infin)
aan,aan,adp()
Uw',uw,n(sing)
"haard,",hard,n(sing)
Als,als,n(sing)
ge,ge,"pron(pers,2,plu)"
"óók,",ak,n(sing)
door,door,pronadv(prep)
"werken,",werken,"v(fin,pres,lex)"
hebt,hebben,"v(fin,pres,aux_cop)"
bespaard!,besparen,"v(participle,past)"
