form,lemma,pos
MYn,en,misc()
"Filida,",heiligdom,n(prop)
myn,mijn,pron(poss)
"Lief,",effe,n(sing)
myn,mijn,pron(poss)
le…ven,leven,n(sing)
Is,zijn,"v(fin,pres,aux_cop)"
uw,uw,pron(poss)
hert,hart,n(sing)
harder,harde,adv(gener)
dan,dan,conj(comp)
het,het,"pron(pers,3,sing)"
steen?,steen,v(infin)
Wilt,houden,"v(fin,pres,aux_cop)"
gy,gij,"pron(pers,2,plu)"
my,ik,"pron(pers,1,sing)"
nooit,nooit,adv(neg)
gehoor,gehoren,adj()
dan,dan,conj(comp)
"geven,",geven,v(infin)
Nog,hoog,interj()
acht,achten,num(card)
slaan,slaan,n(plu)
op,op,adp()
myn,mijn,pron(poss)
droef,droef,n(sing)
geween?,gewenen,v(infin)
Ey,gij,"pron(pers,1,sing)"
keer,keer,"v(fin,pres,lex)"
uw,uw,interj()
uw,uw,pron(poss)
"zin,",zijn,v(infin)
Eens,een,n(sing)
tot,tot,adp()
de,de,art(def)
Min!,ik,pron(indef)
En,ne,adv(neg)
wil,willen,"v(fin,pres,aux_cop)"
m'uw,mouw,"pron(pers,1,sing)"
wederliefde,wederlijven,"v(fin,past,lex)"
"tonen,",tonen,v(infin)
Zo,o,interj()
zal,zullen,"v(fin,pres,aux_cop)"
uw,uw,"pron(pers,2,plu)"
Tyter,eter,adj()
"weer,",zijn,n(sing)
Zo,o,interj()
zal,zullen,"v(fin,pres,aux_cop)"
uw,uw,"pron(pers,2,plu)"
Tyter,eter,adj()
"weer,",zijn,n(sing)
Zo,o,interj()
zal...,zullen,"v(fin,pres,aux_cop)"
uw,uw,pron(poss)
Tuter,du+zullen,adj()
weer,zijn,"v(fin,past,aux_cop)"
die,de,art(def)
gunst,gunst,n(sing)
belonen.,belonen,v(infin)
Gy,gij,pron(poss)
zyt,zijn,"v(fin,pres,lex)"
de,de,art(def)
wellust,wellust,n(sing)
van,van,adp()
myn,mijn,pron(poss)
"Oo…gen,",oog,n(sing)
Myn,een,pron(poss)
"Vreugt,",mrijven,n(sing)
myn,mijn,adv(gener)
eenig,enig,num(indef)
"zielsvermaak,",zielsmaker,n(prop)
Ik,kok,"pron(pers,2,plu)"
leef,leven,"v(fin,pres,lex)"
alleen,alleen,adv(gener)
door,door,adp()
u,uw,"pron(pers,2,plu)"
"vermogen,",vermogen,v(infin)
Gy,ei,"pron(pers,2,plu)"
zyt,zijn,"v(fin,pres,aux_cop)"
myn,mijn,pron(poss)
doelwit,dolwijt,n(sing)
en,een,conj(coord)
myn,mijn,pron(poss)
baak!,baak,n(sing)
Want,hand,adp()
alle,al,num(indef)
"schat,",schat,n(sing)
Die,hij,adv(gener)
d'Aard,de+gaard,art(def)+n(sing)
"bevat,",bevatten,"v(fin,pres,lex)"
Kan,hangen,adp()
my,ik,"pron(pers,1,sing)"
geen,geen,pron(indef)
vernoeging,vernoegenig,n(sing)
"geven,",geven,v(infin)
Zo,o,interj()
'k,ook,"pron(pers,1,sing)"
zonder,zonder,conj(coord)
"Filida,",heiligdo,n(prop)
Zo,o,interj()
'k,kie,n(sing)
zonder,zonder,conj(coord)
"Filida,",heiligdo,n(prop)
Zo,o,conj(coord)
'k...,honderd,"pron(pers,1,sing)"
zonder,zonder,adp()
Filida,heiligdom,n(prop)
alleen,alleen,adv(gener)
moet,moeten,"v(fin,pres,aux_cop)"
leven.,leven,v(infin)
Wilt,houden,"v(fin,pres,aux_cop)"
gy,gij,"pron(pers,2,plu)"
my,ik,"pron(pers,1,sing)"
nu,nu,adv(dem)
dan,dan,adv(dem)
gantsch,gans,adj()
"verstoo…ten,",verstoten,v(infin)
En,ne,conj(coord)
nimmer,nimmer,adv(gener)
luystren,luisen,n(sing)
na,na,adp()
myn,mijn,pron(poss)
"reen,",ree,n(sing)
Zo,o,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
myn,mijn,pron(poss)
dood,dood,n(sing)
gewis,gewis,adv(gener)
"besloten,",besluiten,"v(participle,past)"
En,ne,punc(quest)
'k,kuin,"pron(pers,2,plu)"
moet,moeten,"v(fin,pres,aux_cop)"
het,het,"pron(pers,3,sing)"
naare,nader,n(sing)
Styx,het+ik,n(prop)
"betreen,",beteren,v(infin)
't,et,adv(gener)
Is,zijn,"pron(pers,3,sing)"
"gedaan,",doen,"v(participle,past)"
Helaas,ela,n(prop)
wel,wel,adv(gener)
"aan,",aan,"v(fin,pres,lex)"
Ik,kok,adv(gener)
offer,offeren,conj(coord)
u,gij,"pron(pers,2,plu)"
myn,mijn,pron(poss)
jeugdig,jeugdig,adj()
"leven,",leven,v(infin)
Maar,haar,n(sing)
denk,ding,n(sing)
gy,gij,"pron(pers,2,plu)"
d'oorzaak,doorzaak,n(sing)
"zyt,",zijn,"v(fin,pres,aux_cop)"
Maar,haar,interj()
denk,ding,n(sing)
gy,gij,"pron(pers,2,plu)"
d'oorzaak,doorzaak,art(def)+n(sing)
"zyt,",zijn,"v(fin,pres,aux_cop)"
Maar,haar,pron(poss)
denk...,dank,n(sing)
gy,gij,"pron(pers,2,plu)"
d'oorzaak,doorzaak,art(def)+n(sing)
zyt,zijn,"v(fin,pres,aux_cop)"
dat,dat,conj(subord)
ik,ik,"pron(pers,1,sing)"
moet,moeten,"v(fin,pres,aux_cop)"
sneven.,sneven,v(infin)
Zoud,oud,conj(coord)
gy,gij,"pron(pers,2,plu)"
door,door,adp()
Min,een,n(sing)
van,van,adp()
droefheid,droefheid,n(sing)
sterven,sterven,v(infin)
Neen,een,v(infin)
Tyter,eter,adv(gener)
neen!,neen,art(indef)
weet,weten,"v(fin,pres,lex)"
dat,dat,pron(rel)
myn,mijn,pron(poss)
hart,hard,adj()
Nooit,hooit,adv(gener)
heeft,hebben,"v(fin,pres,aux_cop)"
getragt,trachten,"v(participle,past)"
u,gij,"pron(pers,2,plu)"
te,te,adp()
"verderven,",verderven,v(infin)
Al,al,adv(gener)
heb,hebben,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
wat,wat,pron(inter)
te,te,adv(gener)
lang,lang,adj()
gemard.,mark,"v(participle,past)"
Gy,gij,adv(gener)
zyt,zijn,"v(fin,pres,lex)"
de,de,art(def)
"geen,",gene,pron(dem)
Die,je,interj()
ik,ik,"pron(pers,1,sing)"
"alleen,",alleen,adv(gener)
Myn,een,pron(poss)
Trouw,grouw,n(sing)
en,ne,conj(coord)
Liefde,geven,n(sing)
wil,willen,"v(fin,pres,aux_cop)"
"betonen,",betonen,v(infin)
En,ne,adv(neg)
zal,zullen,"v(fin,pres,aux_cop)"
uw,uw,"pron(pers,3,sing)"
Kuissche,eis,n(sing)
"Min,",in,v(infin)
En,ne,adv(neg)
zal,zullen,"v(fin,pres,aux_cop)"
uw,uw,pron(poss)
Kuissche,eis,n(sing)
"Min,",in,v(infin)
En,ne,adv(neg)
zal...,zullen,"v(fin,pres,aux_cop)"
uw,uw,pron(poss)
Kuissche,eisen,n(sing)
Min,in,conj(coord)
met,met,adp()
weermin,warm,n(sing)
Kroonen.,roon,adj()
Wat,hebben,conj(coord)
Godheid,hoofdheid,n(sing)
heeft,hebben,"v(fin,pres,aux_cop)"
uw,uw,pron(poss)
hert,hart,n(sing)
bewogen,bewoegen,"v(participle,past)"
Pronk-Perel,ronkerveld,n(prop)
van,van,adp()
"Natuur,",haduur,n(prop)
dat,dat,pron(rel)
gy,gij,"pron(pers,2,plu)"
met,met,adp()
uwen,uw,pron(poss)
Tyter,eter,n(sing)
toond,tonen,n(sing)
meedoogen;,mededogen,"v(fin,pres,lex)"
ô,ik,conj(coord)
Uur,chur,n(sing)
zo,zo,adv(dem)
zeer,zeer,adv(gener)
gewenscht,wenken,"v(participle,past)"
van,van,adp()
my!,ik,pron(poss)
Gun,zij,pron(poss)
nu,nu,adv(dem)
"Vriendin,",merendijen,n(sing)
Tot,hoofd,adv(gener)
troost,troost,n(sing)
myns,ik,pron(poss)
"Min,",in,n(sing)
Dat,haten,conj(subord)
ik,ik,"pron(pers,1,sing)"
u,gij,"pron(pers,2,plu)"
Lippen,ippen,v(infin)
mag,mogen,"v(fin,pres,aux_cop)"
"genaken,",genaken,v(infin)
En,ne,adv(neg)
kussen,kussen,n(sing)
't,et,adp()
schoone,schoon,n(sing)
"Rood,",hoofd,conj(coord)
En,ne,adv(neg)
kussen,kussen,n(sing)
't,et,adp()
schoone,schoon,n(sing)
"Rood,",aaldoe,n(sing)
En,ne,adv(neg)
kus…sen,kussen,n(sing)
't,et,conj(coord)
schoone,schoon,n(sing)
Rood,hoofd,conj(coord)
op,op,adp()
uwe,uw,pron(poss)
kaken.,kaak,n(plu)
