form,lemma,pos
GHelijck,heilig,adv(gener)
een,een,art(indef)
maeghet,maagd,n(sing)
die,die,pron(rel)
daer,daar,adv(dem)
gaet,gaan,"v(fin,pres,lex)"
In,ne,adp()
eenen,een,art(indef)
lust-hof,lusthof,n(sing)
heur,huur,pron(poss)
"vermeyen,",vermijden,v(infin)
Die,hij,adv(indef)
af-ghemaelt,afgemaal,"v(participle,past)"
met,met,adp()
blomkens,bloem,n(sing)
"staet,",staan,"v(fin,pres,lex)"
In,en,conj(coord)
verruwen,verruwen,v(infin)
en,een,art(indef)
reuck,rekken,n(sing)
"verscheyen,",verschijnen,v(infin)
Al,al,adv(gener)
om,om,adp()
ist,zijn+het,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
dat,dat,conj(subord)
zy,zij,"pron(pers,3,sing)"
d’ooghe,deugd,art(def)+n(sing)
"slaet,",slaan,"v(fin,pres,lex)"
Of,of,conj(coord)
haer,haar,pron(poss)
misschien,misschieden,n(sing)
yet,iet,pron(indef)
sou,zo,"v(fin,pres,aux_cop)+pron(pers,1,plu)"
ghereyen.,gerienen,adj()
Zy,een,"pron(pers,1,sing)"
siet,zien,"v(fin,pres,lex)"
hier,hier,adv(dem)
lelien,lelie,v(infin)
wit,wit,adj()
en,een,art(indef)
"reyn,",rein,adj()
Daer,haar,conj(coord)
rooskens,roos,n(sing)
toe,toe,pronadv(rel)
en,ne,adv(neg)
daer,daar,adv(dem)
half,half,adv(gener)
"open,",open,adv(gener)
Zy,hij,adv(gener)
siet,zien,v(imp)
met,met,adp()
violettiens,violettenis,n(sing)
cleyn,klein,adj()
De,eer,conj(coord)
beddekens,bed,n(sing)
aerdigh,aardig,adj()
"becropen,",bekropen,"v(participle,past)"
Zy,hij,adv(gener)
siet,zien,v(imp)
hier,hier,adv(dem)
"thym,",tijgen,n(prop)
daer,daar,adv(dem)
"mageleyn,",magelijn,n(prop)
Daer,haar,pron(poss)
rosmaryn,rosmeren,n(sing)
met,mede,adp()
dauw,dauw,art(def)+n(sing)
bedropen.,bedropen,"v(participle,past)"
Soo,o,n(prop)
ist,het+zijn,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
met,met,adp()
"my,",ik,"pron(pers,1,sing)"
weerdighe,waardig,adj()
"Maeghd,",haag+het,n(sing)
Weerdighen,eerdig,adj()
hof,hof,n(sing)
vol,vol,adj()
welluste:,wellust,adj()
Die,hier,conj(coord)
aen,aan,adp()
u,uw,pron(poss)
