form,lemma,pos
Komt,om,v(imp)
Kristnen,rusten,v(infin)
schaart,scharen,n(sing)
u,gij,pron(poss)
nevens,neven,adp()
my,ik,"pron(pers,1,sing)"
Hoort,horen,"v(fin,pres,lex)"
wat,wat,pron(rel)
ik,ik,"pron(pers,1,sing)"
u,gij,"pron(pers,2,sing)"
zal,zullen,"v(fin,pres,aux_cop)"
"zingen,",zingen,v(infin)
Van,ja,adp()+art(def)
valschheid,valsheid,n(sing)
en,een,adv(neg)
opstokery.,opstaar+tu,"v(fin,pres,lex)"
Hoe,hoe,conj(coord)
dat,dat,art(def)
twee,twee,num(card)
"Echtelingen,",achteling,n(plu)
Die,hij,conj(coord)
van,van,adp()
te,te,adp()
"voren,",voren,v(infin)
"welgemoed,",welgemoed,n(sing)
In,na,conj(coord)
liefde,liefde,n(sing)
leefde!,leven,n(sing)
kuisch,kuis,n(sing)
en,een,conj(coord)
"goed,",goed,n(sing)
Door,horen,n(sing)
satans,satan,n(sing)
snode,snood,n(sing)
"listen,",list,n(sing)
Hun,zij,pron(poss)
"vreugd,",vreugde,"v(fin,pres,lex)"
hun,zij,"pron(pers,3,plu)"
leeven,leven,v(infin)
misten.,missen,v(infin)
't,.chat,conj(coord)
Is,zijn,"pron(pers,3,sing)"
in,in,adp()
de,de,art(def)
Stad,het,n(sing)
van,van,adp()
Trier,heer,n(prop)
"gebeurd,",gebeuren,"v(participle,past)"
Zo,o,adv(gener)
ik,ik,"pron(pers,1,sing)"
u,gij,"pron(pers,2,sing)"
zal,zullen,"v(fin,pres,aux_cop)"
"verhalen,",verhalen,v(infin)
En,na,adv(neg)
waardig,waardig,adj()
om,om,adp()
te,te,adp()
zyn,zijn,v(infin)
betreurd;,betreuren,adv(gener)
Hoe,hoe,conj(coord)
satans,satan,n(sing)
list,list,n(sing)
doet,doen,"v(fin,pres,aux_cop)"
"dwalen,",dwalen,v(infin)
Een,een,art(indef)
man,man,n(sing)
en,een,art(indef)
"vrouw,",vrouw,n(sing)
heel,heel,n(sing)
wel,wel,adv(gener)
"gesteld,",stellen,"v(participle,past)"
