form,lemma,pos
Wat,hebben,adv(gener)
doet,doen,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
"ontstellen,",ontstelen,v(infin)
Staeg,getagen,art(def)+n(sing)
in,in,adp()
myn,mijn,pron(poss)
gedagt.,dagen,"v(participle,past)"
Dat,hebben,conj(coord)
my,ik,"pron(pers,1,sing)"
zo,zo,adv(resum)
komt,komen,v(imp)
"kwellen,",kwellen,adv(gener)
Waer,zij,adv(gener)
door,door,pronadv(prep)
ik,ik,"pron(pers,1,sing)"
versmagt.,versmaden,"v(participle,past)"
By,een,pron(poss)
dag,dag,n(sing)
als,als,conj(subord)
ik,ik,"pron(pers,1,sing)"
"waeke,",waken,"v(fin,past,lex)"
By,een,pron(poss)
Nagt,hachten,n(prop)
als,als,conj(subord)
ik,ik,"pron(pers,1,sing)"
rust,rusten,"v(fin,pres,lex)"
Dan,hangen,adp()
scheen,schijnen,"v(fin,past,aux_cop)"
ik,ik,"pron(pers,1,sing)"
te,te,adp()
blaken,blaken,v(infin)
Vol,hol,n(sing)
van,van,adp()
Minne-lust;,enstervel,n(prop)
Waer,haar,n(sing)
vinde,vinden,"v(fin,pres,lex)"
ik,ik,"pron(pers,1,sing)"
nog,nog,adv(gener)
gratie:,gratie,n(sing)
Voor,horen,conj(coord)
myn,mijn,pron(poss)
grillig,grielig,adj()
"hart,",hard,n(sing)
De,ee,pron(poss)
Soete,goed,n(sing)
"Tentatie,",enteliet,n(sing)
Die,ie,pron(poss)
baerd,baren,n(sing)
my,ik,"pron(pers,1,sing)"
groot,groot,adj()
smart.,smart,n(sing)
Laest,haasten,adv(gener)
sprak,spreken,"v(fin,past,lex)"
ik,ik,"pron(pers,1,sing)"
een,een,art(indef)
"Susje,",huis,n(sing)
Wat,haten,adv(gener)
ben,zijn,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
"doorwond,",doorwonden,n(prop)
Die,ie,interj()
schonk,schoon,n(sing)
my,ik,"pron(pers,1,sing)"
een,een,art(indef)
"kusje,",kuis,n(sing)
Van,ja,adp()
haer,haar,pron(poss)
roder,rood,adj()
mond?,mond,n(sing)
Ik,kok,"pron(pers,2,plu)"
wil,willen,"v(fin,pres,aux_cop)"
haer,zij,"pron(pers,3,sing)"
gaen,gaan,v(infin)
Vryen:,mirie,v(infin)
En,ne,adv(neg)
bieden,bieden,v(infin)
myn,mijn,pron(poss)
Trouw:,grouw,n(sing)
Dan,hangen,interj()
raek,raken,n(sing)
ik,ik,"pron(pers,1,sing)"
uyt,uit,n(sing)
"Lyden,",eiden,v(infin)
Uit,eten,conj(coord)
druk,druk,n(sing)
en,en,conj(coord)
uit,uit,adp()
rouw:,rouw,n(sing)
Myn,een,pron(poss)
lieve,lief,adj()
"Annaetje,",innatie,n(sing)
Myn,een,adp()
liefde,liefde,n(sing)
vergaet;,vergaan,"v(participle,past)"
Laest,haasten,n(sing)
