form,lemma,pos
EN,.,adv(gener)
begrijpt,begrijpen,"v(fin,pres,lex)"
mi,ik,"pron(pers,1,sing)"
tot,tot,adp()
gheē,geen,n(prop)
stondē,stond,n(sing)
Van,hangen,adp()
mijn,mijn,pron(poss)
zõden,zede,n(sing)
In,in,adp()
dynen,dijn,pron(poss)
toren,toorn,n(sing)
ô,daar,"pron(pers,2,plu)"
Heer':,eer,n(sing)
Noch,ook,interj()
wild,willen,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
oock,ook,adv(gener)
niet,niet,adv(neg)
castyen,kastijden,v(infin)
Noch,ook,conj(coord)
doen,doen,v(infin)
lyen,lijden,"v(fin,pres,lex)"
In,een,adp()
dijn,dijn,pron(poss)
groote,groot,adj()
gramschap,gramschap,n(sing)
meer.,meer,num(indef)
Want,hand,v(imp)
dijn,dijn,pron(poss)
pylen,pijl,n(plu)
my,ik,"pron(pers,1,sing)"
deurdringhen,doordringen,v(infin)
En,ne,adp()
ombringhen:,ombrengen,n(sing)
Oock,ook,adv(gener)
heeft,hebben,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
dijn,dijn,pron(poss)
hand,hand,n(sing)
gheraect:,geraken,"v(participle,past)"
In,ne,conj(coord)
mijn,mijn,pron(poss)
vleesch,vlees,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
niet,niet,adv(neg)
gh'eels,geheel,adv(gener)
bleuen,blijven,v(prtcl)
Hier,hier,adv(gener)
beneuen,beneven,adp()
Deur,ever,adp()
dijn,dijn,pron(poss)
dreeghen,dreigen,n(sing)
alst,als+het,"conj(subord)+pron(pers,3,sing)"
my,ik,"pron(pers,1,sing)"
naect.,naakt,"v(fin,pres,lex)"
In,ne,conj(coord)
mijn,mijn,pron(poss)
beenders,beneder,n(plu)
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
ooc,ook,adv(gener)
mede,mede,adv(gener)
Rust,huis,n(prop)
of,of,conj(subord)
vrede,vrede,n(sing)
Deur,ever,adv(gener)
mijn,mijn,pron(poss)
quaed,kwaad,n(sing)
zeer,zeer,adv(gener)
dick,dik,adv(gener)
ghetast:,getasten,"v(participle,past)"
Mijn,een,art(indef)
zonden,zonde,n(plu)
my,ik,"pron(pers,1,sing)"
ouerterden,overtaarden,"v(fin,past,lex)"
Ende,en,conj(coord)
werden,worden,"v(fin,pres,aux_cop)"
Een,een,art(indef)
pack,pak,n(sing)
van,van,adp()
te,te,adp()
zwaeren,zwaar,adj()
last.,last,n(sing)
Mijn,een,adp()
wonden,wond,n(plu)
stijncken,stinken,v(infin)
en,een,adv(neg)
rotten,rotten,n(plu)
Deur,ever,adp()
mijn,mijn,pron(poss)
"verzotten,",verzotten,n(sing)
En,ne,conj(coord)
ic,ik,"pron(pers,1,sing)"
buughe,buigen,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
zeer,zeer,adv(gener)
"crom,",krom,n(prop)
En,een,conj(coord)
wandel,wandel,n(sing)
zo,zo,conj(coord)
in,in,adp()
die,de,art(def)
pijnen,pijn,n(plu)
Veel,eel,adv(gener)
termijnen,termijn,n(sing)
Med,eten,conj(coord)
droufuen,droef,adj()
ghelaet,gelaat,n(sing)
hier,hier,adv(dem)
om.,om,pronadv(prep)
Mijn,en,adv(indef)
inghewant,inwangen,"v(participle,past)"
is,zijn,"v(fin,pres,aux_cop)"
verstoruen,versterven,"v(participle,past)"
Gheel,heel,"v(fin,pres,aux_cop)"
bedoruen,bederven,"v(participle,past)"
Niet,iet,conj(coord)
gheels,geheel,adj()
is,zijn,"v(fin,pres,aux_cop)"
an,aan,adp()
my,ik,"pron(pers,1,sing)"
voorwaer:,voorwaar,adj()
Ic,du,"pron(pers,1,sing)"
ben,zijn,"v(fin,pres,aux_cop)"
al,al,adv(gener)
te,te,adp()
zeer,zeer,adv(gener)
ghesmeten,smeten,"v(participle,past)"
En,ne,adv(neg)
verbeten,verbijten,"v(participle,past)"
Ic,chug,"pron(pers,1,sing)"
huul',hul,n(sing)
deur,door,pron(rel)+pronadv(pers)
sherten,de+hart,art(def)+n(sing)
mesbaer.,misbaar,adj()
O,in,conj(coord)
