form,lemma,pos
ALl’,al,n(sing)
die,die,pron(rel)
hier,hier,adv(dem)
levens,leven,n(sing)
adem,adem,n(sing)
schept,scheppen,"v(fin,pres,lex)"
En,na,conj(coord)
op,op,adp()
der,de,art(def)
aerden,aarde,n(sing)
wooning,woning,n(sing)
hebt,hebben,"v(fin,pres,aux_cop)"
Doet,hoeden,conj(coord)
allent-halven,al+de+gena,adv(gener)
vreuchd-bewijs,vrucht+wijg,adj()
Den,een,art(indef)
"Heere,",heer,n(sing)
onsen,ons,pron(poss)
"Godt,",hoofd,n(sing)
ten,te+de,adp()+art(def)
prijs.,prijs,n(sing)
Treedt,gereed,"v(fin,pres,lex)"
"in,",in,adp()
en,een,adv(neg)
laet,laten,v(imp)
"triumph-geneucht,",trimoegen,n(sing)
uyt,uit,n(sing)
overvloedt,overvloed,n(sing)
van,van,adp()
"herten-vreuchdt,",hertenrocht,n(sing)
Voor,haar,adp()
sijns,zijn,pron(poss)
groot-waerdicheyts,grootwaardigheid,n(sing)
aenschijn,aanschijn,n(sing)
Vw’,huwe,"pron(pers,3,sing)"
Godsdienst,ooddienste,"v(fin,pres,lex)"
een,een,art(indef)
geselschap,gezelschap,n(sing)
zijn.,zijn,n(sing)
Dit,eten,conj(coord)
zy,zij,"v(fin,pres,lex)"
u,gij,"pron(pers,2,sing)"
een,een,art(indef)
onwanckle,onwankel,adj()
"leer,",leren,n(sing)
Een,een,conj(coord)
wisse,wis,n(prop)
waerheydt:,waarheid,n(sing)
Dat,hebben,conj(subord)
de,de,art(def)
Heer,eer,n(sing)
Ontwijsselijcke,onwisselijk,adj()
Godheydt,hoogheid,n(sing)
"heeft,",hebben,"v(fin,pres,lex)"
En,een,art(indef)
selver,zelf,pron(dem)
allen,al,num(indef)
alles,al,num(indef)
geeft.,geven,n(sing)
All’,al,adj()
eygen,eigen,n(sing)
eere,eer,n(sing)
zy,zij,"v(fin,pres,aux_cop)"
versaeckt.,verzaken,adj()
Niet,heten,conj(coord)
"wy,",wij,adv(gener)
maer,maar,conj(coord)
hy,hij,"pron(pers,3,sing)"
heeft,hebben,"v(fin,pres,aux_cop)"
ons,wij,"pron(pers,1,plu)"
gemaeckt.,maken,"v(fin,pres,lex)"
"Hy,",gij,interj()
onsen,ons,pron(poss)
herder,herder,n(sing)
en,en,adv(neg)
geley;,gelei,"v(fin,pres,lex)"
"Wy,",gij,interj()
’tvee,twee,num(card)
en,en,conj(coord)
schapen,schaap,n(plu)
sijner,zijn,pron(poss)
wey’.,wee,n(sing)
Treedt,gereden,"v(fin,pres,lex)"
tot,tot,conj(coord)
sijn,zijn,pron(poss)
heyl’ge,heilig,adj()
poorten,poort,n(plu)
in,in,adp()
Met,eten,art(def)
eerdanck-volle,aardenkolf,adj()
ziel,ziel,n(sing)
en,ne,conj(coord)
sin.,zijn,"v(fin,pres,lex)"
Brengt,vernechten,n(sing)
lippen,lip,n(plu)
rijck,rijk,n(sing)
van,van,adp()
eeren-tael,eerental,n(prop)
In,ne,conj(coord)
’sTempels,simpel,art(def)+adj()+n(sing)
eerst’,eerst,num(ord)
en,een,art(indef)
tweede,tweede,num(ord)
zael.,zaal,n(sing)
Doet,het+hoe,adv(gener)
sijnes,zijn,pron(poss)
Godtheyts,ootmoed,n(sing)
grootheydt,grootheid,n(sing)
"kondt,",konden,"v(fin,pres,lex)"
Sijn,een,pron(poss)
naem,naam,n(sing)
heb,hebben,"v(fin,pres,aux_cop)"
zegen,zien,v(infin)
in,in,adp()
u,uw,pron(poss)
mondt.,mond,n(sing)
Sijn,en,"pron(pers,2,plu)"
plicht,plegen,n(sing)
verricht,verrichten,"v(fin,pres,lex)"
hy,hij,"pron(pers,3,sing)"
die,die,pron(rel)
dit,dit,pron(dem)
doet:,doen,"v(fin,pres,lex)"
Want,hand,v(imp)
hy,hij,"pron(pers,3,sing)"
(de,een,adv(gener)
Heer),eer,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
over-goedt.,overgoed,"v(participle,past)"
’tGeduren,uitdoren,art(def)+n(sing)
sijner,zijn,pron(poss)
goedichhe’en,goedigheid,n(plu)
Streckt,trekken,v(imp)
sich,zich,"pron(refl,3,sing)"
door,door,adp()
alle,al,num(indef)
eeuwen,eeuw,n(plu)
heen.,heen,n(plu)
Sijn,een,pron(poss)
waerheydt,waarheid,n(sing)
staet,staan,n(sing)
en,ne,adv(neg)
blijft,blijven,v(imp)
in,in,adp()
kracht,kracht,n(sing)
Van,hangen,n(sing)
’teen,eten,n(sing)
tot,tot,conj(coord)
’tandere,ontaard,adj()+art(def)
geslacht.,slachten,n(sing)
