form,lemma,pos
BOde,hebben,n(sing)
van,van,adp()
den,de,art(def)
hooghsten,hoog,adj()
"Godt,",hoofd,n(sing)
Comt,om,adv(gener)
wilt,willen,"v(fin,pres,lex)"
tot,tot,conj(coord)
Mijnen,een,pron(poss)
dienst,dienst,n(sing)
v,gij,"pron(pers,2,plu)"
nu,nu,adv(dem)
"begeuen,",begeven,v(infin)
Seght,echt,adp()
Iupijn,open,n(sing)
dat,dat,conj(subord)
hy,hij,"pron(pers,3,sing)"
"aenueert,",aanvaarden,"v(fin,pres,lex)"
Lief,heffen,adv(gener)
en,ne,adv(neg)
"weert,",worden,"v(fin,pres,lex)"
Vreught,verven,"v(fin,pres,lex)"
om,om,adp()
hier,hier,adv(dem)
vrolijck,vrolijk,adv(gener)
te,te,adp()
leuen.,leven,v(infin)
Voorder,horen,adv(gener)
seght,zeggen,"v(fin,pres,lex)"
dat,dat,conj(subord)
hy,hij,"pron(pers,3,sing)"
"terstont,",terstond,n(sing)+adp()
Oock,ook,adv(gener)
"vermont,",vermonden,"v(fin,pres,lex)"
En,ne,conj(coord)
de,de,art(def)
Goden,hode,n(plu)
doet,doen,"v(fin,pres,aux_cop)"
"gebieden,",gebieden,v(infin)
Dat,hebben,conj(subord)
sy,zij,"pron(pers,3,plu)"
alle,al,num(indef)
minst,minst,adv(gener)
en,ne,adv(neg)
"meest,",meest,"v(fin,pres,lex)"
Tot,hoofd,conj(coord)
een,een,art(indef)
feest,feest,n(sing)
"Comen,",oom,adj()
die,die,pron(rel)
hier,hier,adv(dem)
sal,zullen,"v(fin,pres,aux_cop)"
geschieden.,scheiden,v(infin)
Als,als,conj(subord)
ghy,gij,"pron(pers,2,sing)"
daer,daar,adv(dem)
dan,dan,adv(dem)
hebt,hebben,"v(fin,pres,aux_cop)"
"gedaen,",doen,"v(participle,past)"
Soo,o,conj(coord)
nemt,nemen,v(imp)
aen,aan,adp()
VVeer,eer,n(sing)
den,de,art(def)
"last,",last,n(sing)
en,ne,adv(neg)
gaet,gaan,v(imp)
doch,doch,adv(gener)
treden,treden,v(infin)
Naer,haar,adv(gener)
het,het,"pron(pers,3,sing)"
bladichrijcke,bladikheid,n(prop)
"wout,",woud,"v(fin,past,aux_cop)"
"Onuerflout,",onvervollen,n(sing)
Laet,haten,v(imp)
de,de,art(def)
Nymphen,immer,n(plu)
sijn,zijn,pron(poss)
gebeden.,bidden,n(plu)
Seght,echt,adv(gener)
oock,ook,adv(gener)
Pallas,allas,n(prop)
ende,en,conj(coord)
"Pan,",hangen,adv(gener)
Dat,hebben,conj(subord)
sy,zij,"pron(pers,3,plu)"
dan,dan,adv(gener)
Oock,hokke,adv(gener)
niet,niet,adv(neg)
lang,lang,adv(gener)
van,van,adp()
hier,hier,adv(dem)
en,ne,adv(neg)
"blijuen,",blijven,"v(fin,pres,aux_cop)"
Maer,zij,adv(gener)
comen,komen,v(infin)
met,met,adp()
snelder,snelder,adj()
"vaert,",vaart,n(sing)
"Hereewaert,",ereat+weer,adv(gener)
Sien,eine,adv(gener)
de,de,art(def)
vreught,vrucht,n(sing)
alhier,alhier,adv(dem)
bedrijuen.,bedrijven,"v(participle,past)"
Als,als,"v(fin,pres,aux_cop)"
v,uw,pron(poss)
bootschap,boodschappen,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
"volbracht,",volbrengen,"v(participle,past)"
Nemt,etemen,adv(gener)
dan,dan,adv(dem)
"acht,",achten,"v(fin,pres,lex)"
Dat,hebben,conj(subord)
ghy,gij,"pron(pers,2,plu)"
v,gij,"pron(pers,2,plu)"
dan,dan,adv(gener)
hier,hier,adv(dem)
laet,laten,"v(fin,pres,aux_cop)"
"vinden,",vinden,v(infin)
Om,ik,"v(fin,pres,aux_cop)"
te,te,adp()
dienen,dienen,v(infin)
dit,dit,pron(dem)
"versaent,",verzanden,"v(fin,pres,lex)"
Seer,eer,adv(gener)
"bequaem,",bekwaam,"v(fin,past,lex)"
VVant,gehand,n(prop)
t'sijn,te+zijn,adp()+pron(poss)
rechts,rechts,n(sing)
Poësis,hoos,n(prop)
vrinden.,vriend,n(plu)
