form,lemma,pos
"CArileen,",herillen,v(infin)
wel,wel,adv(gener)
"hoe,",hoe,"pron(pers,2,plu)"
wel,wel,adv(gener)
hoe,hoe,adv(inter)
dus,dus,adv(dem)
vluchtigh,vluchtig,adj()
Van,hangen,adp()
‘t,et,art(def)
Haerlemsche,aarlems,adj()
soete,zoet,adj()
Wout?,hout,conj(coord)
Ay,hij,pron(poss)
"hoort,",horen,n(sing)
mijn,mijn,pron(poss)
Nymphjes,michael,n(sing)
"hoort,",horen,"v(fin,pres,lex)"
Eer,eer,pron(poss)
ghy,gij,"pron(pers,2,sing)"
treedt,treden,"v(fin,pres,lex)"
"voort,",voort,"v(fin,pres,lex)"
De,eer,conj(coord)
re’en,rein,n(sing)
van,van,adp()
"Cloris,",lorries,n(prop)
die,die,pron(rel)
ghy,gij,"pron(pers,2,sing)"
somtijdts,het+zomen,"v(fin,pres,aux_cop)"
vertrouwt:,vertrooften,"v(participle,past)"
Waer,zij,adp()
toch,toch,adp()
heen,een,art(indef)
langhs,langs,adj()
‘t,et,art(def)
Sparens,paren,n(sing)
Oever,ever,adj()
"luchtigh,",luchtig,adj()
Daer,zij,adp()
de,de,art(def)
Golfjens,holsijn,n(plu)
hippelen,hyppel,n(plu)
op?,op,adp()
Wel,el,misc()
Nymphjes,michael,n(prop)
soet,zoet,"pron(pers,3,sing)+pron(pers,3,sing)"
van,van,adp()
"Ieught,",egyptel,n(prop)
En,na,conj(coord)
vol,vol,adv(gener)
van,van,adp()
"Deught,",echt,n(prop)
En,ne,conj(coord)
schroomt,schromen,"v(fin,pres,lex)"
noch,noch,conj(coord)
en,ne,adv(neg)
vreest,vrezen,"v(fin,pres,lex)"
ghy,gij,"pron(pers,2,plu)"
niet,niet,adv(neg)
dit,dit,pron(dem)
woeste,woesten,adj()
zop?,zop,n(sing)
Siet,iet,n(sing)
"Harderesjes,",sardiensis,n(prop)
‘t,het,adv(gener)
Wordt,horen,"v(fin,pres,lex)"
u,gij,"pron(pers,2,plu)"
nu,nu,adv(dem)
"gheseydt,",zeggen,"v(participle,past)"
Zijt,het+het,adv(neg)
gheen,geen,pron(indef)
vyandesjes,vijandsijdes,adv(gener)
Van,ja,adp()
u,gij,pron(poss)
"soetigheydt,",zoetigheid,n(sing)
Maer,haar,adp()
siet//,zien,"v(fin,pres,lex)"
‘t,et,conj(coord)
verdriet,verdriet,n(sing)
‘t,et,adv(gener)
Gheen,heen,pron(indef)
u,gij,"pron(pers,2,plu)"
staet,staan,"v(fin,pres,lex)"
"voor,",voor,n(sing)
En,een,art(indef)
seght//,zeggen,n(sing)
ist,zijn+het,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
niet,niet,adv(neg)
slecht,slecht,adv(gener)
Dat,hebben,conj(subord)
wy,wij,"pron(pers,1,plu)"
volghen,volgen,"v(fin,pres,lex)"
dit,dit,pron(dem)
spoor.,spoor,n(sing)
"Cloris,",lorries,n(prop)
"vrundt,",vriend,"v(fin,pres,lex)"
het,het,"pron(pers,3,sing)"
schijnt,schijnen,"v(fin,pres,lex)"
‘t,et,conj(subord)
sou,zo,"pron(pers,3,sing)"
u,gij,"pron(pers,2,plu)"
"vermaecken,",vermaken,v(infin)
Kondt,honden,v(imp)
ghy,gij,"pron(pers,2,sing)"
ons,wij,"pron(pers,1,plu)"
nu,nu,adv(dem)
maecken,maken,n(prop)
schu,schuwen,v(imp)
Door,horen,adj()
zwarigheydt,zwaarheid,n(sing)
van,van,adp()
"re’en,",rein,n(sing)
Maer,zij,n(sing)
"neen,",neen,adv(neg)
ô,zij,"v(fin,pres,lex)"
"neen,",neen,adv(neg)
Ons,ne+zij,adv(neg)
moedt,moeten,"v(fin,pres,aux_cop)"
en,en,adv(neg)
Ieught,echt,"v(fin,pres,lex)"
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
niet,niet,adv(neg)
min,min,adv(gener)
als,als,conj(subord)
"d’u,",du,"pron(pers,2,sing)"
Schoon,chogen,n(prop)
de,de,art(def)
Windt,einden,n(sing)
blaest,blazen,"v(fin,pres,lex)"
met,met,adp()
zijn,zijn,pron(poss)
stijve,stijf,adj()
"kaecken,",kaak,n(plu)
Dat,hebben,conj(coord)
en,ne,adv(neg)
maeckt,maken,"v(fin,pres,lex)"
ons,wij,"pron(pers,1,plu)"
niet,niet,adv(neg)
ontroert:,ontroor,"v(fin,pres,lex)"
Van,ja,adp()
‘t,het,art(def)
Amazoons,emmon,n(prop)
ghemoedt,moeden,"v(participle,past)"
Is,zijn,"v(fin,pres,aux_cop)"
in,in,adp()
ons,wij,"pron(pers,1,plu)"
"bloedt,",bloed,"v(fin,pres,lex)"
Ay,hij,"pron(pers,2,plu)"
waerom,waarom,pronadv(inter)
dat,dat,conj(subord)
ghy,gij,"pron(pers,2,plu)"
met,met,adp()
ons,wij,"pron(pers,1,plu)"
doch,doch,adv(gener)
staet,staan,"v(fin,pres,lex)"
en,ne,adv(neg)
boert.,behoren,"v(fin,pres,lex)"
Tsa,zijn,adv(resum)
haelt,halen,v(imp)
u,uw,pron(poss)
Zeyltje,heile,n(sing)
Lustigh,het+oogst,adj()
in,in,adp()
den,de,art(def)
"top,",top,n(sing)
En,ne,adv(neg)
neemt,nemen,"v(fin,pres,lex)"
een,een,art(indef)
peyltje,partij,n(sing)
Van,ja,adv(gener)
het,het,"pron(pers,3,sing)"
ruyme,ruimen,n(sing)
"sop,",sop,adj()
Op,op,n(sing)
dat//,dat,pron(dem)
het,het,"pron(pers,3,sing)"
padt,pad,"v(fin,pres,lex)"
V,zijn,punc(quest)
