form,lemma,pos
AH!,!,art(indef)
herte,hart,n(sing)
vol,vol,adj()
benauwtheyd!,benauwdheid,n(sing)
Dat's,hates,adv(gener)
levend,levend,n(sing)
sterven!,sterven,v(infin)
Dat's,hates,n(sing)
levend,levend,n(sing)
sterven!,sterven,v(infin)
Dat's,hates,n(sing)
levend,levend,n(sing)
levend,levend,n(sing)
sterven!,sterven,v(infin)
Mijns,ik,n(sing)
herten,hart,n(sing)
"Grond-slag,",rondalsval,n(sing)
Die,hij,n(sing)
't,et,art(def)
hert,hart,n(sing)
ten,de+te,adp()+art(def)
grond,grond,n(sing)
"sag,",zien,n(sing)
Mijns,ik,pron(poss)
levens,leven,n(sing)
leven,leven,v(infin)
Heeft,hebben,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
begeven:,begeven,v(infin)
Dat,hebben,conj(coord)
heerlijck,heerlijk,adv(gener)
"Aansigt,",aanzicht,"v(fin,pres,lex)"
Een,een,conj(coord)
Son,hij,n(sing)
by,bij,adp()
't,eten,misc()
"Maanligt,",haalling,n(prop)
Dus,huis,interj()
heen!,hij,n(sing)
dus,dus,adv(dem)
heen,een,art(indef)
te,te,adp()
gaan?,gaan,v(infin)
Dus,huis,interj()
heen!,hij,n(sing)
dus,dus,adv(dem)
heen,een,art(indef)
te,te,adp()
gaan?,gaan,n(prop)
Dus,huis,interj()
heen!,hij,n(sing)
dus,dus,adv(dem)
heen,een,art(indef)
te,te,adp()
gaan?,gaan,n(prop)
Dat's,hates,adv(gener)
levend,levend,adj()
sterven.,sterven,adj()
Ick,200,interj()
was,zijn,"v(fin,past,aux_cop)"
wat,wat,pron(inter)
aan,aan,adp()
het,het,"pron(pers,3,sing)"
"sluymren,",sluimer,"v(fin,pres,lex)"
O!,t!vig,num(card)
diere,duur,adj()
slaap-sugt!,slaapschap+vrouw,n(sing)
O!,t!.,art(indef)
diere,duur,adj()
slaap-sugt!,slaapschap,n(sing)
O!,!,art(indef)
"diere,",duur,pron(rel)
diere,die+er,pron(rel)+pronadv(pers)
slaap-sugt!,slaapschapduizend,n(sing)
Hy,hij,pron(poss)
"clopt',",kloppen,"v(fin,pres,lex)"
en,en,adv(neg)
riep,roepen,"v(fin,past,lex)"
nog:,noch,conj(coord)
Ick,chuk,"pron(pers,1,sing)"
"hoord',",horen,adv(gener)
en,ne,adv(neg)
sliep,slapen,"v(fin,past,lex)"
nog:,noch,conj(coord)
Sijn,ik+ne,adj()
woorden,woord,n(plu)
schenen,schijnen,"v(fin,past,aux_cop)"
Door,haar,n(sing)
dampen,dapme,v(infin)
"henen,",henen,art(indef)
Door,haar,n(sing)
damp,damp,n(sing)
van,van,adp()
lusten,list,n(sing)
En,een,conj(coord)
sorg-loos,sorgloos,adv(gener)
rusten,rusten,v(infin)
Hy,hij,pron(poss)
trock,trekken,n(sing)
sijn,zijn,pron(poss)
hand,hand,n(sing)
te,te,adp()
"rug,",rug,n(sing)
Hy,een,"pron(pers,1,sing)"
trock,trekken,n(sing)
sijn,zijn,pron(poss)
hand,hand,n(sing)
te,te,adp()
"rug,",rug,n(prop)
Hy,hij,pron(poss)
trock,trekken,n(sing)
sijn,zijn,pron(poss)
hand,hand,n(sing)
te,te,adv(gener)
"rug,",rug,n(prop)
O!,!,art(indef)
dierbre,dierber,adj()
slaap-sugt!,slaapschapog,adj()
O!,o,art(indef)
arger,erg,adj()
Rust,huis,n(sing)
dan,dan,conj(comp)
onrust!,onrustig,adj()
Gemack,emma,n(sing)
te,te,adp()
dierbaar!,dierbaar,pron(dem)+n(sing)
Gemack,emma,n(sing)
te,te,adp()
dierbaar!,dierbaar,n(prop)
"Gemack,",emmaken,n(prop)
gemack,gemak,n(sing)
te,te,adp()
dierbaar!,dierbaar,n(prop)
In,ne,adp()
dons,dun,pron(dem)
gesegen,zien,"v(participle,past)"
Lag,zij,n(sing)
"ick,",ik,"pron(pers,1,sing)"
als,als,conj(subord)
regen,regen,n(sing)
En,een,conj(coord)
dauw,dauw,n(sing)
Hem,hij,adv(gener)
deckten,dekken,"v(fin,past,lex)"
En,een,conj(coord)
Hy,hij,pron(poss)
my,ik,"pron(pers,1,sing)"
weckte.,weekt,"v(fin,past,lex)"
Een,een,conj(coord)
weynig,weinig,adj()
reckens,rekken,n(sing)
(Dagt,haag+het,art(def)+n(sing)
ick),ik,"pron(pers,1,sing)"
en,een,num(card)
streckens,strik,n(sing)
En,in,conj(coord)
laas!,laat,n(prop)
Hy,hier,adv(gener)
