form,lemma,pos
EErt,hard,n(sing)
MARIA,echt,n(sing)
te,te,adp()
"gaer,",gaar,n(sing)
En,na,adv(neg)
wilt,willen,"v(fin,pres,aux_cop)"
haer,zij,"pron(pers,3,sing)"
t'saemen,tezamen,v(infin)
"groeten,",groeten,v(infin)
Sy,eer,"pron(pers,1,sing)"
zal,zullen,"v(fin,pres,aux_cop)"
uw',uw,"pron(pers,2,plu)"
smert,smart,"v(fin,pres,lex)"
hier,hier,adv(dem)
"naer,",naar,pronadv(prep)
Met,eten,"v(fin,pres,aux_cop)"
't,et,"pron(pers,2,sing)"
hemel-rijck,hemelrijk,n(sing)
versoeten.,verzoeten,v(infin)
Doet,het+ooit,conj(coord)
als,als,conj(subord)
den,de,art(def)
Engel,engel,n(sing)
ded'/,doen,"v(fin,past,lex)"
Wilt,houden,"pron(pers,3,sing)+v(fin,pres,aux_cop)"
haeren,haar,pron(poss)
lof,lof,n(sing)
"verkonden,",verkennen,v(infin)
Gy,gij,pron(poss)
zult,zullen,n(sing)
met,met,adp()
haer,zij,"pron(pers,3,sing)"
in,in,adp()
"vred',",vrede,n(sing)
Leven,een,adv(gener)
ten,te+de,adp()+art(def)
allen,al,num(indef)
stonden.,stond,n(plu)
'T,.,adv(gener)
woordt,woord,"v(fin,past,aux_cop)+pron(pers,3,sing)"
is,zijn,"v(fin,pres,aux_cop)"
geworden,worden,"v(participle,past)"
"vleesch,",vlees,n(sing)
Uyt,het,adp()
een,een,art(indef)
maget,maagd,n(sing)
"gebooren,",geboren,adj()
Dat,haten,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
den,de,art(def)
rechten,recht,adj()
"heesch,",eis,n(sing)
Om,ik,pron(rel)
niet,niet,adv(neg)
te,te,adp()
gaen,gaan,v(infin)
verlooren.,verliezen,v(infin)
Den,een,adp()
grooten,groot,adj()
prins,prins,n(sing)
gaet,gaan,"v(fin,pres,lex)"
"voort,",voort,adp()+art(def)
Omringht,ringen,n(sing)
met,met,adp()
gulde,gilde,n(sing)
"straelen,",straal,v(infin)
Die,hij,conj(coord)
uyt,uit,n(sing)
des,de,art(def)
hemels,hemels,n(sing)
"poort,",poort,n(sing)
Tot,hoofd,conj(coord)
op,op,adp()
der,de,art(def)
