form,lemma,pos
ICk,ook,v(imp)
Roep,hopen,adv(gener)
tot,tot,conj(coord)
Godt,hoofd,n(sing)
met,met,adp()
mijner,mijn,pron(poss)
"stem,",stem,n(sing)
Ick,ook,"pron(pers,1,sing)"
smeecke,smaak,"v(fin,pres,lex)"
tot,tot,adp()
den,de,art(def)
"HEERE,",aag,n(sing)
Ick,ook,adv(gener)
schud',schudden,"v(fin,pres,lex)"
wt,uit,adp()
mijn,mijn,pron(poss)
Gebedt,hebben,n(sing)
voor,voor,adp()
hem,hij,"pron(pers,3,sing)"
Hy,gij,adv(gener)
salt,zullen+het,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
verhooren,verhoren,v(infin)
"geerne,",gaarne,v(infin)
Geeff,heffen,n(sing)
hem,hij,"pron(pers,3,sing)"
te,te,adp()
kennen,kennen,v(infin)
mijnen,mijn,pron(poss)
"Noot,",oot,n(sing)
Als,als,conj(subord)
mijn,mijn,pron(poss)
Geest,eest,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
in,in,adp()
Ancxten,angst,n(sing)
"groot,",groot,n(sing)
So,o,interj()
neemt,nemen,"v(fin,pres,lex)"
ghy,gij,"pron(pers,2,sing)"
HEEr,erre,adp()
my,ik,"pron(pers,1,sing)"
aene.,aan,adp()
Sy,hij,"pron(pers,2,plu)"
legghen,leggen,v(infin)
Strick',etrik,art(def)+n(sing)
op,op,adp()
mijne,mijn,pron(poss)
"Baen,",ja,n(plu)
Daer,zij,adv(gener)
op,op,adp()
ick,ik,"pron(pers,1,sing)"
soude,zullen,"v(fin,past,aux_cop)"
"Wand'len,",andel,v(infin)
Ter,eer,pron(poss)
Rechter,echter,adj()
handt,hand,n(sing)
wilt,willen,"v(fin,pres,aux_cop)"
mercken,merken,v(infin)
"aen,",aan,v(infin)
Hoe,hoe,conj(coord)
sy,zij,"pron(pers,3,plu)"
doch,doch,adv(gener)
met,met,adp()
my,ik,"pron(pers,1,sing)"
hand'len.,handelen,v(infin)
"Jae,",haar,conj(coord)
niemandt,niemand,pron(indef)
wil,willen,"v(fin,pres,aux_cop)"
my,ik,"pron(pers,1,sing)"
kennen,kennen,v(infin)
"meer,",meer,num(indef)
Het,eten,"pron(pers,3,sing)"
is,zijn,"v(fin,pres,aux_cop)"
vergeefs,vergeten,"v(participle,past)"
mijn,mijn,pron(poss)
smeecken,smeken,n(sing)
"HEER,",acht,n(sing)
Niemandt,iemand,"pron(pers,3,sing)+interj()"
vraeght,vragen,v(imp)
nae,na,adp()
mijn,mijn,pron(poss)
Ziele.,ijsel,n(sing)
Tot,god,conj(coord)
dy,du,art(def)
Roep,erop,"v(fin,pres,lex)"
ick,ik,"pron(pers,1,sing)"
HEEr,zij,adv(gener)
Godt,hoeden,conj(coord)
mijn,mijn,pron(poss)
Heyl,heil,n(sing)
Ick,erk,"pron(pers,1,sing)"
seg:,zeggen,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,2,plu)"
zijt,zijn,"v(fin,pres,aux_cop)"
mijn,mijn,pron(poss)
"Hoope,",hoop,n(sing)
Int,het+in,conj(coord)
Landt,hand,n(sing)
der,de,art(def)
Levenden,even,n(plu)
mijn,mijn,pron(poss)
"deyl,",deel,n(sing)
Met,eten,adv(gener)
Clacht,leggen,"v(fin,pres,lex)"
ick,ik,"pron(pers,1,sing)"
tot,tot,adp()
dy,de,art(def)
"loope,",loop,n(sing)
Siet,iet,"pron(pers,3,sing)+interj()"
"HEEr,",haar,n(prop)
hoe,hoe,adv(inter)
swaer,zwaar,adj()
een,een,art(indef)
Cruys,reus,n(sing)
ick,ik,"pron(pers,1,sing)"
"draeg',",dragen,adj()
Vrijdt,het+rijden,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
van,van,adp()
mijns,mijn,pron(poss)
Vervolgers,ervolgen,n(sing)
"plaeg',",plaag,n(sing)
Want,hand,conj(coord)
sy,zij,"pron(pers,3,sing)"
zijn,zijn,pron(poss)
my,ik,"pron(pers,1,sing)"
te,te,adp()
Machtich.,achtig,num(card)
Mijn,een,num(indef)
Ziel,elia,n(sing)
Heer,eer,adv(gener)
wt,uit,adp()
den,de,art(def)
Kercker,erk,n(sing)
"leyd',",leiden,n(sing)
Dat,hebben,conj(subord)
ick,ik,"pron(pers,1,sing)"
Danck,hangen,n(sing)
dijnen,dijn,pron(poss)
"Name,",aam,n(sing)
Die,hij,adv(gener)
Vrome,rome,n(sing)
sullen,zullen,"v(fin,pres,aux_cop)"
wel,wel,adv(gener)
bereydt,bereiden,"v(participle,past)"
By,gij,pron(poss)
my,ik,"pron(pers,1,sing)"
al,al,adv(gener)
comen,komen,v(infin)
"tsame,",tezamen,art(def)+n(sing)
Wanneer,janer,adv(gener)
dat,dat,conj(subord)
ghy,gij,"pron(pers,2,plu)"
my,ik,"pron(pers,1,sing)"
Heer,eer,adv(gener)
wel,wel,adv(gener)
"doet,",doen,"v(fin,pres,lex)"
Dan,hangen,v(infin)
sal,zullen,"v(fin,pres,aux_cop)"
ick,ik,"pron(pers,1,sing)"
dijne,dijn,n(prop)
Weldaet,eldaad,n(sing)
goet,goed,adj()
In,ne,conj(coord)
dijn,dijn,pron(poss)
Gemeynt',emeniet,n(sing)
verconden.,verkonden,v(infin)
