form,lemma,pos
COrrect,rekken,"v(fin,pres,lex)"
schoon,schoon,adj()
beelde,beeld,n(sing)
//,.,punc(quest)
"reyn,",rein,adj()
Volmaectste,holmaakt,adj()
onder,onder,adp()
vele:,veel,num(indef)
Och!,gij,n(sing)
t'is,het+is,n(sing)
een,een,art(indef)
weelde,weelde,n(sing)
//,.,punc(quest)
"cleyn,",klein,adj()
Daer,zij,adv(rel)
ghy,gij,"pron(pers,2,sing)"
zijt,zijn,"v(fin,pres,aux_cop)"
buyten,buiten,adp()
spele:,spel,n(prop)
Soo,hoo,interj()
gratieus,gratieus,n(prop)
Zijt,eten,misc()
"ghy,",gij,"pron(pers,2,sing)"
O,:,conj(coord)
schoon,schoon,adj()
vriendinne:,vriendin,n(sing)
Ten,een,adv(neg)
was,zijn,"v(fin,past,aux_cop)"
beginne,begin,n(sing)
Geen,een,adv(neg)
maeght,maagd,n(sing)
soo,zo,adv(resum)
amoureus.,amourus,n(prop)
Om,hij,pron(indef)
u,gij,"pron(pers,2,sing)"
(met,gemet,adp()
sinnen,zin,n(plu)
//,.,conj(coord)
recht),recht,adj()
T'sijn,azijn,n(prop)
"dienstbaer,",dienstbaar,adj()
vrough,vroeg,n(sing)
en,en,conj(coord)
"spade,",spade,n(sing)
Ben,een,conj(coord)
ick,ik,"pron(pers,1,sing)"
der,de,art(def)
minnen,minne,n(sing)
//,.,art(indef)
"knecht,",knecht,n(sing)
Subiect,huiben,v(imp)
uwe,uw,pron(poss)
genade:,genade,n(plu)
Geheel,heel,adj()
"constant,",constand,n(sing)
Wacht,achten,v(imp)
"ick,",ik,"pron(pers,1,sing)"
seer,zeer,adv()
pacientich,pachtig,adj()
(Naer,haar,adv(rel)
t'lijden,telijden,art(def)+n(sing)
tormentich),tormentieren,n(sing)
Den,een,art(indef)
troost,troost,n(sing)
van,van,adp()
uwer,uw,pron(poss)
hant.,hand,n(sing)
Ras,aas,n(prop)
tot,tot,adp()
gesonde,gezonde,n(sing)
//,.,punc(quest)
"helpt,",helpen,v(imp)
Naer,zij,adp()
u,uw,pron(poss)
genadich,genadig,adj()
plegen:,plegen,v(infin)
Mijn,ik+en,adp()
bitter,bitter,adj()
wonde,wonden,n(sing)
//,.,punc(quest)
"stelpt,",stelpen,v(imp)
Die,hij,"pron(pers,1,sing)"
ghy,gij,"pron(pers,2,sing)"
my,ik,"pron(pers,1,sing)"
hebt,hebben,"v(fin,pres,aux_cop)"
geslegen:,slaan,"v(participle,past)"
Gelijck,eelijk,adv(gener)
ghy,gij,"pron(pers,2,sing)"
snel,snel,adj()
My,hij,interj()
cont,kond,adj()
"wonden,",wond,v(infin)
en,en,adv(neg)
"grieven,",grieven,"v(fin,pres,lex)"
Can,ja,adp()
u,gij,"pron(pers,2,sing)"
wel,wel,adv(gener)
belieuen,believen,v(infin)
Haest,haasten,"v(fin,pres,aux_cop)"
blusschen,blussen,n(plu)
mijn,mijn,pron(poss)
gequel.,kwil,n(sing)
Neemt,eemd,n(sing)
in,in,adp()
onweerde,onwaarde,n(sing)
//,.,punc(quest)
niet,niet,adv(neg)
Dit,eten,conj(coord)
mijn,mijn,adv(gener)
ellendich,ellendig,adj()
clagen:,klagen,n(sing)
Wist,zijn+het,"v(fin,pres,lex)"
ick,ik,"pron(pers,1,sing)"
op,op,adp()
d'eerde,de+aarde,art(def)+n(sing)
//,.,punc(quest)
yet,iets,pron(indef)
"Lief,",gijf,n(sing)
dat,dat,pron(rel)
u,gij,"pron(pers,2,sing)"
mocht,mogen,"v(fin,past,aux_cop)"
"behagen,",behagen,v(infin)
T'soud',zijn+het,n(sing)
zijn,zijn,"v(fin,pres,aux_cop)"
"versocht,",verzoeken,"v(participle,past)"
Het,eten,conj(coord)
zy,zijn,"v(fin,pres,lex)"
"publijck,",publijk,adv(gener)
of,of,conj(coord)
