form,lemma,pos
Al-wijze,het+olijs,n(prop)
Godt!,gidden,n(prop)
die,die,pron(rel)
hier,hier,adv(dem)
"beneden,",beneden,"v(fin,pres,lex)"
Een,een,adp()
yeder,ieder,art(indef)
mensch,mens,n(sing)
hebt,hebben,"v(fin,pres,aux_cop)"
"opgeleydt,",opleiden,"v(participle,past)"
Zijn,een,pron(poss)
eygen,eigen,adj()
"werk,",werk,n(sing)
en,en,conj(coord)
"beezigheden,",bezigen,"v(fin,past,lex)"
Ten,een,art(indef)
dienste,dienst,n(sing)
van,van,adp()
uw,uw,pron(poss)
Majesteyt.,aaistaan,n(sing)
Wy,gij,interj()
alle,al,num(indef)
Heer!,eer,n(plu)
zijn,zijn,"v(fin,pres,aux_cop)"
uwe,uw,pron(poss)
knechten;,knecht,n(plu)
In,na,conj(coord)
ons,wij,"pron(pers,1,plu)"
beroep,beroepen,n(sing)
van,van,adp()
uw,uw,pron(poss)
"gezet,",zetten,"v(participle,past)"
Leydt,heten,v(imp)
ons,wij,"pron(pers,1,plu)"
na,na,adp()
uwe,uw,pron(poss)
heyl’ge,heilig,adj()
"rechten,",recht,n(sing)
Leert,eren,conj(coord)
ons,wij,"pron(pers,1,plu)"
doen,doen,v(infin)
na,na,adp()
uw,uw,pron(poss)
woordt,woord,"v(fin,pres,lex)"
en,en,art(indef)
wet.,weten,n(sing)
Gy,hij,adp()
dan,dan,conj(comp)
ô,:,pron(poss)
ziel!,ziel,n(sing)
stelt,stelen,v(imp)
uw,uw,pron(poss)
gedachten,gedachte,n(plu)
Te,eer,pron(poss)
werk,werk,n(sing)
in,in,adp()
uw,uw,pron(poss)
beroep,beroepen,n(sing)
en,ne,adv(neg)
"plicht,",plegen,"v(fin,pres,lex)"
Doet,hoeden,conj(coord)
wat,wat,pron(rel)
gy,gij,"pron(pers,2,plu)"
"doet,",doen,"v(fin,pres,lex)"
met,met,adp()
alle,al,num(indef)
"krachten,",kracht,n(plu)
Zijt,het+niet,conj(coord)
trouw,trouw,n(sing)
in,in,adp()
al,al,adv(gener)
wat,wat,pron(rel)
gy,gij,"pron(pers,2,plu)"
verricht.,verrichten,"v(fin,pres,lex)"
Schikt,dichten,"v(fin,pres,lex)"
al,al,num(indef)
uw,uw,pron(poss)
werk,werk,n(sing)
tot,tot,adp()
Godes,haat,n(prop)
eere;,eer,adv(gener)
