form,lemma,pos
HEt,hebben,n(sing)
viel,vallen,"v(fin,past,lex)"
een,een,art(indef)
hemels,hemel,n(sing)
douwe,dauw,n(sing)
In,ne,adp()
een,een,art(indef)
kleyn,klein,adj()
"maechdeken,",maagdje,n(sing)
Ten,een,conj(coord)
was,zijn,"v(fin,past,aux_cop)"
noyt,nooit,adv(gener)
beter,beter,adj()
"Vrouwe,",rouw,n(sing)
Dat,hebben,conj(subord)
ded',doen,pron(dem)
een,een,art(indef)
"kindeken,",kind,n(sing)
Dat,hebben,n(prop)
van,van,adp()
haer,zij,"pron(pers,3,sing)"
was,zijn,"v(fin,past,aux_cop)"
"gheboren,",geboren,adj()
En,ne,"pron(pers,3,sing)+adv(neg)"
sy,zij,"pron(pers,3,sing)"
bleef,blijven,"v(fin,past,aux_cop)"
Maghet,hagen,"v(participle,past)"
fijn:,fijn,n(prop)
O,.,"pron(pers,3,sing)"
Maghet,hagen,n(sing)
"wtverkoren,",uitverkoren,"v(participle,past)"
Lof,of,conj(coord)
moet,moeten,n(sing)
u,gij,"pron(pers,2,plu)"
altoos,altoos,adv(gener)
sijn.,zijn,pron(poss)
Die,hij,interj()
Maghet,hagen,n(sing)
ghinck,gaan,n(sing)
met,met,adp()
"kinde,",kind,n(sing)
Een,een,conj(coord)
swaerheydt,zwaarheid,n(sing)
ghinck,gaan,v(imp)
haer,zij,pron(poss)
"aen,",aan,n(sing)
Als,als,adv(gener)
Ioseph,jozef,n(prop)
dat,dat,pron(dem)
versiende,verzien,"v(fin,past,lex)"
Dien,een,pron(poss)
goeden,goed,adj()
weerden,waarde,n(sing)
"man,",man,n(sing)
Hy,ei,pron(poss)
"docht,",dunken,adj()
ick,ik,"pron(pers,1,sing)"
wilse,willen+zij,"v(fin,pres,aux_cop)+pron(pers,3,plu)"
laten,laten,v(infin)
Den,een,art(indef)
Vader,ader,n(sing)
ben,zijn,"v(fin,pres,aux_cop)"
ick,ik,"pron(pers,1,sing)"
"niet,",niet,adv(neg)
En,ne,adv(neg)
trecken,trekken,"v(fin,pres,lex)"
mijnder,mijn,pron(poss)
"straten,",straat,n(sing)
Eer,eer,adv(gener)
my,ik,"pron(pers,1,sing)"
schande,schande,n(sing)
gheschiet.,geschieden,"v(participle,past)"
Al,al,adv(gener)
van,van,adp()
des,de,art(def)
hemels,hemel,n(sing)
throone,troon,n(sing)
Sprack,oprachten,"v(fin,past,lex)"
hem,hij,"pron(pers,3,sing)"
den,de,art(def)
Enghel,engel,n(sing)
aen,aan,adp()
O,:,art(def)
Ioseph,jozef,n(prop)
Davids,avond,n(prop)
sone.,zoon,n(sing)
O,.,conj(coord)
wtvercoren,uitverkoren,adj()
"man,",man,n(sing)
Blijft,lijften,"v(fin,pres,lex)"
toch,toch,adv(gener)
beyde,beide,num(indef)
te,te,adp()
gader,gader,n(sing)
Tis,zijn,adv(gener)
boven,boven,adp()
menschen,mens,n(sing)
kracht,kracht,n(sing)
Dat,haten,n(sing)
Godt,hoofd,adv(gener)
almachtich,almachtig,adj()
Vader,ader,n(sing)
In,en,conj(coord)
haer,zij,"pron(pers,3,sing)"
dus,dus,adv(dem)
heeft,hebben,"v(fin,pres,aux_cop)"
ghewracht.,werken,"v(participle,past)"
Corts,hort,adv(gener)
daer,daar,pronadv(dem)
naer,naar,pronadv(prep)
is,zijn,"v(fin,pres,aux_cop)"
ghegheven,geven,"v(participle,past)"
Een,een,art(indef)
Keyserlijck,eenselijk,adv(gener)
