form,lemma,pos
VEreende,erende,adj()
"Twee,",eeuwe,adv(gener)
gezegend,zeggen,"v(participle,past)"
"Paar,",haar,interj()
Hoe,hoe,conj(coord)
deftig,deftig,adj()
zult,zullen,"v(fin,pres,aux_cop)"
gy,gij,"pron(pers,2,plu)"
saamen,zaan,n(plu)
passen!,passen,n(plu)
Gy,hij,misc()
zyt,zijn,"v(fin,pres,aux_cop)"
geschaapen,schapen,"v(participle,past)"
voor,voor,adp()
"malkaâr,",malka,n(prop)
En,ne,conj(coord)
tot,tot,adp()
dit,dit,pron(dem)
Huwlyk,huwelijk,n(sing)
"opgewassen,",opwassen,"v(participle,past)"
Terwyl,heerwil,n(prop)
de,de,art(def)
knoop,knoop,n(sing)
van,van,adp()
't,eten,art(def)
bloed,bloed,n(sing)
de,de,art(def)
grondvest,gronduit,n(prop)
en,en,adp()
't,het,art(def)
begin,begin,n(sing)
Verstrekte,eerst+het,"v(fin,past,lex)"
van,van,adp()
uw',uw,n(prop)
min.,min,num(indef)
Geen,een,art(indef)
"vreugd,",vreugde,n(sing)
noch,noch,conj(coord)
ongeluk,ongeluk,adj()
blus,blos,n(sing)
ooit,ooit,conj(coord)
zo,zo,adv(dem)
lieven,lief,adj()
"brand,",brand,n(sing)
Of,of,adv(gener)
breek,breken,n(sing)
zo,zo,conj(coord)
schoonen,schoon,n(plu)
band.,band,n(sing)
