form,lemma,pos
O,.,punc(quest)
Sint,en,v(imp)
Gregori!,urgoren,n(sing)
Uw',uw,pron(poss)
groote,groot,adj()
glory,glorie,n(sing)
Begint,eigendom,"v(participle,past)"
tot,tot,adp()
singen,zingen,v(infin)
We'er,eer,conj(coord)
uw',uw,n(sing)
Swaen,daaraan,n(sing)
te,te,adp()
"dwingen,",dwingen,v(infin)
Die,hij,conj(coord)
uw',uw,pron(poss)
"lof,",lof,n(sing)
en,en,conj(coord)
"eer,",eer,n(sing)
O,hij,conj(coord)
Vader!,ader,adj()
Vader!,aadroep,adj()
wil,willen,n(sing)
verbreyden,verbreiden,"v(participle,past)"
veer.,ver,adv(gener)
Ick,ook,adv(gener)
heb,hebben,"v(fin,pres,aux_cop)"
behagen,behagen,v(infin)
All',al,"v(fin,pres,aux_cop)"
mijne,mijn,pron(poss)
"dagen,",dag,n(plu)
In,ne,conj(coord)
uwe,uw,pron(poss)
"deughden,",deugd,art(def)+n(plu)
Die,ie,adv(gener)
my,ik,"pron(pers,1,sing)"
soo,zo,adv(resum)
"verheughden,",verheugen,"v(fin,past,lex)"
Datse,haten+zij,"conj(subord)+pron(pers,3,plu)"
uwe,uw,pron(poss)
"pae'n,",paai,n(plu)
O,.,conj(coord)
Vader!,ader,n(plu)
Vader!,ader,n(plu)
my,ik,"pron(pers,1,sing)"
met,met,adp()
vlijt,vlijt,n(sing)
deên,die,pron(dem)
gaen.,gaan,v(infin)
Uw',uw,"pron(pers,2,plu)"
grooten,groot,adj()
yver,iver,n(sing)
Die,ie,interj()
dee,de,pron(dem)
my,ik,"pron(pers,1,sing)"
"stijver,",stijf,adj()
Of,of,conj(coord)
snelder,snelder,adj()
"spoejen,",spoeien,n(plu)
En,na,conj(coord)
in,in,adp()
deughden,deugd,n(plu)
groejen;,graaien,n(plu)
Ick,ook,"pron(pers,1,sing)"
verwon,verwinnen,"v(fin,past,lex)"
den,de,art(def)
"Draeck,",ik+raak,n(prop)
O,.,conj(coord)
Vader!,jaar,adj()
Vader!,ader,n(plu)
door,door,adp()
uw',uw,"pron(pers,1,plu)"
tusschen-spraeck.,tussenschrijven,adp()+art(def)+n(sing)
Uw',uw,"pron(pers,1,plu)"
suyv're,zuiver,n(prop)
"leden,",lid,n(plu)
Die,je,adv(gener)
na,na,adp()
de,de,art(def)
reden,rede,n(sing)
Ghy,hij,adv(dem)
hielt,houden,"v(fin,past,lex)"
in,in,adp()
"orden,",orde,"v(fin,past,lex)"
Die,hij,interj()
sijn,zijn,pron(poss)
my,ik,"pron(pers,1,sing)"
geworden,worden,"v(participle,past)"
Eene,een,adv(neg)
spoor,spoor,n(sing)
voorwaer:,voorwaar,adv(gener)
O,gij,pron(poss)
Vader!,aadroep,adj()
Vader!,jader,n(plu)
'k,kuik,"pron(pers,1,sing)"
wil,willen,"v(fin,pres,aux_cop)"
die,de,pron(rel)
volgen,volgen,v(infin)
naer.,naar,adv(gener)
5.De,uw,num(card)
vuyle,vuil,adj()
minne,minne,n(sing)
Heeft,hebben,"v(fin,pres,lex)"
uwe,uw,pron(poss)
sinne,zin,n(sing)
Noyt,houden,adv(gener)
overwonnen;,overwinnen,"v(participle,past)"
Blinckend',linkend,adj()
als,als,conj(comp)
de,de,art(def)
Sonne,non,n(sing)
Zijt,het+ij,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,2,plu)"
in,in,adp()
die,de,art(def)
"deughd,",deugd,n(sing)
O,g,conj(coord)
Vader!,ader,adj()
Vader!,jader,n(plu)
die,die,pron(rel)
mijn,mijn,pron(poss)
hert,hart,n(sing)
verheught.,verheugen,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,3,sing)"
quaemt,komen,"pron(pers,3,sing)+v(fin,past,lex)"
de,de,art(def)
arme,arme,n(plu)
Staeght,tagen,art(def)+n(sing)
te,te,adp()
"ontfarmen,",ontfermen,v(infin)
Ghy,hij,"pron(pers,3,sing)"
gaf,geven,"v(fin,past,lex)"
haer,haar,pron(poss)
"kleedingh,",kleding,n(prop)
"Spijsingh,",efising,n(prop)
"dranck,",drank,n(prop)
en,en,art(indef)
reedingh:,reding,n(prop)
Welcke,elk,n(prop)
wond're,wonder,n(sing)
"gaef,",geven,"v(fin,past,lex)"
O,.,conj(coord)
Vader!,jader,adj()
Vader!,jader,adj()
God,hood,n(sing)
U,:,punc(quest)
loonden,londen,adj()
braef.,braaf,n(sing)
Want,hand,adv(gener)
siet,zien,v(imp)
de,de,art(def)
Eng'len,engel,n(plu)
Die,ie,adv(gener)
quamen,komen,"v(fin,past,aux_cop)"
heng'len,engel,v(infin)
In,en,conj(coord)
uwe,uw,pron(poss)
"wooningh,",woning,n(sing)
En,lemma_unclear,conj(coord)
der,de,art(def)
Eng'len,engel,n(plu)
Koningh,jong,n(sing)
Sat,haten,misc()
in,in,adp()
uwe,uw,pron(poss)
"zael,",zaal,n(sing)
O,i,conj(coord)
Vader!,jader,n(plu)
Vader!,jader,n(plu)
met,met,adp()
U,zij,misc()
over,over,adp()
't,at,art(def)
mael.,maal,n(sing)
O,.,conj(coord)
Man,ja,adp()
der,de,art(def)
mannen!,man,n(sing)
'k,conkert,misc()
Wil,ik,adv(gener)
met,met,adp()
U,gij,"pron(pers,3,sing)"
spannen;,spannen,v(infin)
Ick,ook,n(sing)
wil,willen,"v(fin,pres,aux_cop)"
U,du,punc(quest)
"volgen,",volgen,v(infin)
Zijnde,eind,n(sing)
in,in,adp()
de,de,art(def)
golven,golvoel,n(plu)
Deses,ese,n(sing)
werelts,wereld,"v(fin,pres,lex)"
noch;,nog,conj(coord)
O,de,conj(coord)
Vader!,hader,adj()
Vader!,aadroep,n(plu)
helpt,helpen,"v(fin,pres,lex)"
my,ik,"pron(pers,1,sing)"
hier,hier,adv(dem)
in,in,adp()
toch.,toch,adv(gener)
Ach!,c,adv(gener)
dwinght,dwingen,"v(fin,pres,lex)"
de,de,art(def)
"Spreewers,",perewer,n(plu)
De,ee,art(def)
helsche,hels,adj()
"Schreewers,",acherwer,n(sing)
Die,ie,"pron(pers,1,sing)"
my,ik,"pron(pers,1,sing)"
"benijden,",benijden,v(infin)
Die,hier,adp()
my,ik,"pron(pers,1,sing)"
swaer,zwaar,adj()
bestrijden,bestrijken,"v(participle,past)"
Soo,o,n(prop)
by,bij,adp()
"dagh,",dag,n(sing)
als,als,conj(subord)
nacht:,nacht,n(sing)
O,.,pron(poss)
