form,lemma,pos
Lestmaal,aamstal,n(prop)
kwam,komen,n(sing)
Cupido,eupodius,n(sing)
myn,mijn,pron(poss)
"opwekken,",opwekken,n(sing)
Daar,zij,interj()
ik,ik,"pron(pers,1,sing)"
zeer,zeer,adv(gener)
zoet,zoet,"pron(pers,3,sing)+v(fin,pres,aux_cop)"
lag,liggen,"v(fin,past,lex)"
in,in,adp()
myn,mijn,pron(poss)
rust:,rust,n(sing)
Phoebus,hebben+hij+zij,n(prop)
die,die,pron(rel)
kwam,komen,n(sing)
myn,mijn,pron(poss)
"opwekken,",opwaken,v(infin)
Want,hand,"v(fin,past,aux_cop)"
ik,ik,"pron(pers,1,sing)"
was,zijn,"v(fin,past,aux_cop)"
heel,heel,adv(gener)
"ontlust,",ontluiten,"v(participle,past)"
Dat,hebben,conj(subord)
ik,ik,"pron(pers,1,sing)"
myn,mijn,adv(gener)
moest,moeten,"v(fin,past,aux_cop)"
"ontdekken,",ontdekken,v(infin)
Door,horen,adp()
Brand,gerand,n(sing)
van,van,adp()
Minne,eind,n(prop)
lust.,list,"v(fin,pres,aux_cop)"
Ik,ik,"pron(pers,1,sing)"
voelde,voelen,"v(fin,past,lex)"
myn,mijn,pron(poss)
Hertje,eertijd,n(sing)
heel,heel,adv(gener)
"ontsteken,",ontsteken,n(sing)
Dat,haten,conj(subord)
ik,ik,"pron(pers,1,sing)"
moest,moeten,"v(fin,past,aux_cop)"
uyt,uit,v(prtcl)
myn,mijn,pron(poss)
Bed,eten,n(sing)
opstaan:,opstaan,v(infin)
Het,eten,adv(gener)
was,zijn,"v(fin,past,aux_cop)"
om,om,adp()
myn,mijn,pron(poss)
Liefje,geef,n(sing)
te,te,adp()
"spreken,",spreken,v(infin)
Ag,gog,adv(gener)
hoort,horen,"v(fin,pres,lex)"
myn,mijn,pron(poss)
klagten,klacht,n(sing)
"aan,",aan,n(sing)
Lief,heffen,n(sing)
wilt,willen,v(imp)
u,gij,pron(poss)
hooft,hoofd,n(sing)
"uytsteken,",uitsteken,v(infin)
Ag!,gij,n(sing)
hoort,horen,"v(fin,pres,lex)"
myn,mijn,pron(poss)
kermen,kermen,n(sing)
aan.,aan,n(sing)
Stilletjes,het+hij+zitlij,n(sing)
gaat,gaan,n(sing)
Vrouw,rouw,n(sing)
Venus,eens,n(prop)
"Jonker,",jonkheer,n(sing)
Myn,een,"pron(pers,1,sing)+adv(neg)"
dunkt,dunken,"v(fin,pres,lex)"
ik,ik,"pron(pers,1,sing)"
hoor,horen,n(sing)
daar,daar,adv(dem)
myn,mijn,pron(poss)
"Mompeer,",omper,n(sing)
Ik,kok,n(sing)
wensje,wezen+zij,"pron(pers,3,sing)+pron(indef)+adv(resum)"
genagt,genacht,"v(participle,past)"
myn,mijn,pron(poss)
"Jonker,",jonkheer,n(sing)
Stilt,telt,n(sing)
u,uw,pron(poss)
"gelammenteer,",gelameerd,adj()
Gaat,haat,interj()
naar,naar,n(sing)
u,uw,pron(poss)
huys,huis,n(sing)
