form,lemma,pos
Hoe,hoe,conj(coord)
prangt,prangen,"v(fin,pres,lex)"
mij,ik,"pron(pers,1,sing)"
't,het,art(def)
knagende,knagen,adj()
geweten!,geweten,"v(participle,past)"
-,-,punc(hyphen)
'k,kok,"pron(pers,3,sing)"
Vind,indach,conj(coord)
nergends,nergens,adj()
troost,troost,n(sing)
of,of,conj(coord)
grond,grond,n(sing)
van,van,adp()
hoop!,hoop,n(sing)
-,-,punc(hyphen)
Mijn,mijn,adp()
hart,hard,adj()
wordt,worden,"v(fin,pres,aux_cop)"
als,als,conj(alse)
van,van,adp()
een,een,art(indef)
"gereten,",gereed,n(sing)
Bij,gij,"pron(pers,1,sing)"
't,eten,art(def)
peinsen,peinzen,n(plu)
op,op,adp()
mijn,mijn,pron(poss)
levensloop;,leefsloop,n(sing)
"Niets,",iets,adv(gener)
niets,niets,adv(indef)
dan,dan,adv(dem)
"dwaesheid,",dwaasheid,n(sing)
en,en,adv(neg)
"gebreken,",gebreken,"v(fin,pres,lex)"
En,na,conj(coord)
"razernij,",razernis,n(prop)
ontdekt,ontdekken,"v(fin,pres,lex)"
het,het,"pron(pers,3,sing)"
mij:,ik,"pron(pers,1,sing)"
't,eten,adv(gener)
Roept,hopen,adv(gener)
dreigend:,dreigen,"v(participle,past)"
God,hood,conj(coord)
zal,zullen,"v(fin,pres,aux_cop)"
't,eten,art(def)
zeker,zeker,adj()
wreken!,wreken,n(sing)
"Ja,",aa,interj()
godloos,goddoel,n(sing)
"Zondaer,",bondaar,adj()
sidder,sedert,adp()
vrij!,vrij,n(sing)
-,-,punc(hyphen)
Wat,haten,conj(subord)
smaekte,smaken,"v(fin,past,lex)"
ik,ik,"pron(pers,1,sing)"
toch,toch,adv(gener)
sints,zijn,n(sing)
al,al,num(indef)
die,de,art(def)
jaren,jaar,n(plu)
Dat,haten,conj(subord)
ik,ik,"pron(pers,1,sing)"
den,de,art(def)
dienst,dienst,n(sing)
van,van,adp()
God,hoofd,n(sing)
verliet?,verlaten,"v(fin,pres,lex)"
'k,kok,"pron(pers,1,sing)"
Had,hebben,conj(subord)
niets,niets,pron(indef)
dan,dan,adv(dem)
schrikken,schrijken,v(infin)
en,en,adv(neg)
"gevaren,",varen,"v(fin,pres,lex)"
"Pijn,",ik+ne,num(card)
zielenönrust,sielendries,n(prop)
en,en,conj(coord)
verdriet.,verdriet,n(sing)
-,-,punc(hyphen)
ô,g,num(card)
"Zonde,",hond,n(sing)
bron,bron,n(sing)
van,van,adp()
al,al,num(indef)
mijn,mijn,pron(poss)
"smarte,",smart,n(plu)
Hoe,hoe,conj(coord)
tomeloos,toemalenus,adj()
jaegde,jagen,n(plu)
ik,ik,"pron(pers,1,sing)"
u,gij,"pron(pers,2,plu)"
na!,na,n(sing)
Nu,gij,pron(poss)
loont,lonen,"v(fin,pres,lex)"
gij,gij,"pron(pers,2,plu)"
mij,ik,"pron(pers,1,sing)"
met,met,adp()
angst,angst,n(sing)
van,van,adp()
't,et,art(def)
"harte,",hart,n(sing)
Nu,gij,"pron(pers,2,plu)"
komt,komen,"v(fin,pres,lex)"
licht,licht,n(sing)
mijn,mijn,pron(poss)
berouw,berouw,n(sing)
te,te,adp()
spaê.,spaan,n(sing)
Waer,zij,adv(gener)
zal,zullen,"v(fin,pres,aux_cop)"
ik,ik,"pron(pers,1,sing)"
nu,nu,adv(dem)
die,de,art(def)
blijdschap,blijdschap,n(sing)
"vinden,",vinden,v(infin)
Die,je,adv(gener)
gij,gij,num(card)
me,mee,num(indef)
ô,gij,conj(coord)
wellust,wellust,adj()
hebt,hebben,"v(fin,pres,aux_cop)"
beloofd?,beloven,"v(participle,past)"
-,-,punc(hyphen)
'k,kie,v(imp)
Zie,hij,adv(gener)
al,al,num(indef)
uw,uw,pron(poss)
vreugd,vreugde,n(sing)
in,in,adp()
rook,rook,n(sing)
"verzwinden,",verzwinden,"v(participle,past)"
En,ne,adp()
mij,ik,"pron(pers,1,sing)"
van,van,adp()
allen,al,num(indef)
troost,troost,n(sing)
beroofd.,beroven,"v(participle,past)"
Gelijk,elijk,adv(gener)
met,met,adp()
"u,",gij,"pron(pers,2,plu)"
ô,ik,conj(coord)
"ijdelheden,",ijdelheid,n(sing)
Vliedt,lijden,"v(fin,pres,lex)"
ook,ook,adv(gener)
de,de,pron(rel)
rust,rusten,n(sing)
mijn's,mijn,n(sing)
levens,leven,n(sing)
"heen,",heen,n(sing)
De,eer,conj(coord)
wroeging,wroeging,n(sing)
volgt,volgen,"v(fin,pres,lex)"
alöm,al,adv(gener)
mijn,mijn,pron(poss)
"schreden,",schreien,n(sing)
Nooit,gooien,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
mijn,mijn,pron(poss)
lijden,lijden,n(sing)
doorgeleên.,doorgelden,"v(participle,past)"
