form,lemma,pos
WEl,al,n(sing)
op,op,adp()
mijn,mijn,pron(poss)
"Harp,",harp,n(sing)
wilt,willen,"v(fin,pres,aux_cop)"
lieffelijck,lieflijk,adv(gener)
"uytbeelden,",uitbelen,v(infin)
Hoe,hoe,conj(coord)
dat,dat,pron(rel)
Godts,hoeden,adj()
volck,volk,n(sing)
vervallen,vervallen,"v(participle,past)"
is,zijn,"v(fin,pres,aux_cop)"
door,door,adp()
weelden:,weelde,n(plu)
't,het,art(def)
Welck,elk,n(sing)
Moyses,hoois,n(sing)
sagh,zien,n(sing)
van,van,adp()
in,in,adp()
voorleden,voorleden,adj()
"tijden,",tijd,n(plu)
En,ne,conj(coord)
David,hebben,n(prop)
ging,gaan,"v(fin,past,lex)"
het,het,"pron(pers,3,sing)"
selfde,zelfde,"v(fin,pres,aux_cop)"
ooc,ook,adv(gener)
belijden:,belijden,"v(participle,past)"
Hoe,hoe,adv(gener)
Israël,serra,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
gansch,gans,adj()
geweken,wijken,"v(participle,past)"
"af,",af,"v(fin,past,lex)"
Doordat,horendat,conj(subord)
het,het,"pron(pers,3,sing)"
hem,hij,"pron(refl,3,sing)"
van,van,adp()
Godt,hoofd,n(sing)
tot,tot,adp()
weelden,weelde,n(sing)
gaf.,geven,"v(fin,past,lex)"
Geen,een,conj(coord)
raet,raad,n(sing)
en,ne,adv(neg)
wasser,zijn+er,"pron(pers,3,plu)+v(fin,past,aux_cop)"
om,om,adp()
haer,zij,"pron(pers,3,sing)"
te,te,adp()
"verleyden,",verleiden,v(infin)
So,o,adv(gener)
lang,lang,adj()
als,als,conj(subord)
sy,zij,"pron(pers,3,plu)"
(gedwongen),dwingen,n(sing)+art(def)
tot,tot,adp()
Godt,hoofd,n(sing)
schreyden:,schreien,"v(fin,past,lex)"
Maer,zij,adv(gener)
als,als,conj(subord)
de,de,art(def)
Roed',hoofd,n(sing)
eens,een,adj()
op,op,adp()
hiel,heel,n(sing)
van,van,adp()
"kastijden,",kastijden,n(plu)
En,een,conj(coord)
datse,dat+zij,"conj(subord)+pron(pers,3,sing)"
d',de,art(def)
handt,hand,n(sing)
Godts,hoofd,adv(gener)
niet,niet,adv(neg)
en,ne,adv(neg)
wilden,willen,"v(fin,past,aux_cop)"
"lijden,",lijden,v(infin)
Terstont,de+stond,n(sing)
sachmense,men+zien+zij,"pron(indef)+v(fin,pres,aux_cop)+pron(pers,3,plu)"
dwalen,dwalen,v(infin)
uyt,uit,n(sing)
den,de,art(def)
weg,weg,n(sing)
En,ne,adv(neg)
maeckten,maken,n(sing)
met,met,adp()
vleesch,vlees,n(sing)
en,een,art(indef)
bloet,bloed,n(sing)
overlegh.,overliggen,adv(gener)
Alsoo,alzo,adv(gener)
ginckt,gaan+het,"v(fin,pres,lex)"
oock,ook,adv(gener)
met,met,adp()
d',de,art(def)
Apostelsche,apostel,adj()
"Kercken,",ark,n(sing)
Gelijc,eel+ik,pron(indef)
men,men,pron(indef)
in,in,adp()
den,de,art(def)
ouden,oud,adj()
tijt,tijd,n(sing)
kan,kunnen,"v(fin,pres,aux_cop)"
mercken;,merken,v(infin)
Soo,o,interj()
langh,lang,adv(gener)
't,eten,adv(gener)
vervolgh,vervolgen,"v(fin,past,lex)"
haer,zij,"pron(pers,3,sing)"
over,over,adp()
al,al,adv(gener)
"benouden,",benouwen,adv(gener)
En,ne,conj(coord)
datse,dat+zij,"conj(subord)+pron(pers,3,plu)"
haer,zij,"pron(pers,3,sing)"
geen,geen,pron(indef)
Tabernakel,abnerandel,n(sing)
bouden:,boudewijn,adv(gener)
Maer,haar,adv(gener)
zwerfde,zweren,"v(fin,past,lex)"
als,als,conj(subord)
Pelgerims,elgrim,n(prop)
hier,hier,adv(dem)
en,een,pronadv(prep)
"daer,",daar,adv(dem)
Doen,ne,pronadv(rel)
stont,staan,"v(fin,past,lex)"
de,de,art(def)
Kerck,ark,n(sing)
in,in,adp()
't,eten,art(def)
cruys,kruis,n(sing)
als,als,conj(comp)
een,een,art(indef)
Pilaer.,iehaler,n(sing)
De,eer,art(def)
Bisschoppen,jischop,n(plu)
die,de,pron(rel)
men,men,pron(indef)
doen,toen,v(infin)
