form,lemma,pos
VErvremt,roeren,adj()
was,zijn,"v(fin,past,aux_cop)"
die,die,art(def)
ghestorven,sterven,"v(participle,past)"
siel',ziel,"v(fin,pres,aux_cop)"
van,van,adp()
al,al,num(indef)
dat,het,art(def)
leven,leven,n(sing)
"baerde,",baren,n(sing)
T'en,een,n(sing)
was,zijn,"v(fin,past,aux_cop)"
daer,daar,adv(rel)
sy,zij,"pron(pers,3,sing)"
haer,haar,pron(poss)
herte,hart,n(sing)
"hiel,",heel,"v(fin,past,lex)"
gheen,geen,num(indef)
plaetse,plaats,n(sing)
opder,op+de,adp()+art(def)
aerde:,aarde,n(sing)
S'en,een,n(sing)
hadd',hebben,"v(fin,pres,aux_cop)+pron(pers,3,sing)"
nerghens,nergens,adv(gener)
bevinden,bevinden,v(infin)
dan,dan,conj(comp)
in,in,adp()
haren,haar,pron(poss)
beminden;,beminnen,n(plu)
Het,eten,adp()
trooste,troosten,"v(fin,past,lex)"
"haer,",zij,adv(gener)
wat,wat,pron(inter)
dat,dat,conj(subord)
sy,zij,"pron(pers,3,plu)"
"vondt,",vinden,n(sing)
alst,als+het,"conj(subord)+pron(pers,3,sing)"
in,in,adp()
den,de,art(def)
Liefsten,hevenst,num(ord)
stondt.,stond,"v(fin,pres,lex)"
Haer,zij,adv(gener)
en,ne,adv(neg)
volde',volgen,"v(fin,past,lex)"
geen,geen,pron(indef)
eertsche,aards,adj()
"vreught,",vrucht,n(sing)
sy,zij,"pron(pers,3,plu)"
socht,zoeken,"v(fin,past,lex)"
van,van,adp()
als,als,n(sing)
te,te,adp()
"vluchten,",vluchten,v(infin)
Om,ik,pron(indef)
die,die,pron(rel)
haer,zij,pron(poss)
maken,maken,v(infin)
kost,kost,n(sing)
"verheught,",verheugen,"v(fin,pres,lex)"
met,met,adp()
hemelsche,hemels,adj()
genuchten:,geneugte,n(plu)
Alleen,lelen,n(plu)
in,in,adp()
alle,al,num(indef)
"weghen,",weg,n(plu)
