form,lemma,pos
't,et,"v(fin,pres,lex)"
IS,hij,art(def)
immers,immer,pron(indef)
tijdt,tijd,n(sing)
beklaeght,beklagen,"v(participle,past)"
Dat,haten,conj(subord)
my,ik,"pron(pers,1,sing)"
langh,lang,adv(gener)
heeft,hebben,"v(fin,pres,aux_cop)"
behaeght,behagen,"v(participle,past)"
Mijn,een,pron(poss)
eyghen,eigen,n(sing)
dwase,dwaas,n(sing)
"zeden,",zede,v(infin)
Om,ik,"pron(pers,1,sing)"
dat,dat,pron(rel)
ick,ik,"pron(pers,1,sing)"
wirdt,worden,adv(gener)
ghejaeght,jagen,"v(participle,past)"
Door,horen,n(sing)
"liefde,",liefde,"v(fin,past,lex)"
die,die,pron(rel)
noch,nog,adv(gener)
reden,rede,n(sing)
Noch,ook,interj()
ooc,ook,adv(gener)
't,het,adv(neg)
verstant,verstand,n(sing)
een,een,art(indef)
plaetse,plaats,n(sing)
"geeft,",geven,"v(fin,pres,lex)"
Noch,ook,interj()
ooc,ook,adv(gener)
't,et,art(def)
verstant,verstand,n(sing)
een,een,art(indef)
plaetse,plaats,n(sing)
"geeft,",geven,"v(fin,pres,lex)"
Maer,zij,v(prtcl)
in,in,adp()
all's,al,n(sing)
gh'lijck,gelijk,adv(gener)
ontsinnigh,ontzinken,n(sing)
leeft.,leven,"v(fin,pres,lex)"
Wat,haten,conj(coord)
wulpsche,wolfs,adj()
liefde,liefde,n(sing)
baert,baren,n(sing)
Is,zijn,n(sing)
kantigh,kantig,n(sing)
aen,aan,adp()
den,de,art(def)
"aert,",aard,n(sing)
Is,zijn,"pron(pers,3,sing)"
teghen,tegen,adp()
alle,al,num(indef)
"zeden,",zede,n(plu)
Hy,hij,"pron(pers,1,sing)"
gaet,gaan,"v(fin,pres,lex)"
"voet-opper-waert,",voortoordenpoort,adv(gener)
En,ne,art(indef)
laet,laten,n(sing)
een,een,art(indef)
ander,ander,adj()
treden,treden,v(infin)
Met,eten,conj(coord)
't,eten,pron(rel)
hoofdt,hoofden,n(sing)
verheven,verheffen,"v(participle,past)"
in,in,adp()
de,de,art(def)
"locht,",lucht,n(sing)
Met,eten,conj(coord)
't,eten,pron(dem)
hoofdt,hoofden,"v(fin,pres,lex)"
verheven,verheffen,"v(participle,past)"
in,in,adp()
de,de,art(def)
"locht,",lucht,n(sing)
Maer,zij,pronadv(rel)
hy,hij,"pron(pers,3,sing)"
alleen,alleen,adv(gener)
volght,volgen,"v(fin,pres,lex)"
d'eyghen,de+eigen,v(infin)
tocht.,tocht,n(sing)
Hy,hij,adv(gener)
kiest,kiezen,"v(fin,pres,lex)"
den,de,art(def)
duyst'ren,duister,n(plu)
"nacht,",nacht,n(sing)
En,ne,conj(coord)
doet,doen,n(sing)
aen,aan,adp()
hem,hij,"pron(pers,3,sing)"
sijn,zijn,pron(poss)
"klaght,",klagen,n(sing)
Als,als,adv(gener)
oft,het+of,conj(coord)
de,de,art(def)
donckerheden,donkerheid,n(plu)
Hadden,hebben,"v(fin,past,aux_cop)"
